DATE,DE,NJ,OH,VA,WV,T_WA
2015-01-01,28.5,25.75,19.076923076923077,32.8,24.5,25.204417845055634
2015-01-02,32.5,29.5,26.07692307692308,36.3,29.0,30.1291919622317
2015-01-03,37.5,34.5,30.30769230769231,43.1,35.333333333333336,35.40409313629899
2015-01-04,36.0,32.5,39.307692307692314,42.3,46.16666666666666,38.49649895021551
2015-01-05,55.5,48.0,39.46153846153846,55.9,48.5,47.24145077140479
2015-01-06,39.5,34.25,17.615384615384613,40.8,27.5,29.68431610191073
2015-01-07,23.5,16.0,14.416666666666664,34.4,25.16666666666667,21.091408957252472
2015-01-08,20.5,16.25,10.0,24.1,13.6,16.040926428619837
2015-01-10,28.5,24.75,11.75,32.8,20.5,22.01372955304724
2015-01-11,18.0,16.75,11.0,24.7,16.75,16.8084278985289
2015-01-12,26.5,24.0,25.69230769230769,28.9,28.16666666666667,26.243526316951314
2015-01-13,39.5,35.75,26.76923076923077,41.4,37.66666666666666,34.191775165448135
2015-01-14,32.5,25.75,14.454545454545455,35.9,27.5,24.63026451375117
2015-01-15,29.0,22.5,16.0,31.0,26.16666666666667,22.797227006878195
2015-01-16,33.0,29.25,19.384615384615387,34.5,27.33333333333333,27.044686930567615
2015-01-17,35.0,31.0,27.0,39.2,31.16666666666667,31.8605667469443
2015-01-18,27.0,21.75,32.0,35.3,38.16666666666666,30.221285110485287
2015-01-19,39.5,31.0,38.833333333333336,44.7,43.0,38.476110760759255
2015-01-20,37.5,37.5,34.846153846153854,43.1,40.333333333333336,38.185714402674456
2015-01-21,38.0,35.0,33.92307692307692,43.9,41.16666666666666,37.426862932570714
2015-01-22,31.5,27.5,32.46153846153846,38.8,39.66666666666666,33.152068449050965
2015-01-23,36.0,32.25,29.76923076923077,39.9,34.833333333333336,33.648691069288994
2015-01-24,33.5,29.0,29.615384615384613,35.7,32.333333333333336,31.34485889315457
2015-01-25,37.0,34.75,30.0,41.8,31.16666666666667,34.763217976585196
2015-01-26,42.0,36.5,28.69230769230769,42.4,37.333333333333336,35.43149451253257
2015-01-27,34.5,26.25,18.30769230769231,39.7,30.5,27.430146515698883
2015-01-28,30.0,24.0,16.75,33.8,21.66666666666667,24.017664600531944
2015-01-29,28.0,23.5,15.833333333333336,32.9,23.16666666666667,23.324363936724993
2015-01-30,26.0,20.25,32.230769230769226,31.9,35.666666666666664,28.806260083295406
2015-01-31,32.5,28.0,21.076923076923077,34.7,25.0,27.224067975323777
2015-02-01,23.5,18.75,20.615384615384613,30.3,22.83333333333333,22.901927552497106
2015-02-02,30.0,25.25,31.538461538461537,36.9,38.5,31.566266037828925
2015-02-03,37.0,26.75,21.25,41.3,33.666666666666664,29.33147142341998
2015-02-04,26.0,19.5,18.153846153846157,31.4,25.5,22.729084219260955
2015-02-05,36.5,27.0,29.384615384615387,39.6,38.333333333333336,32.176317064425035
2015-02-06,30.0,25.5,12.9,33.6,24.16666666666667,23.1107295695713
2015-02-07,23.5,18.5,17.46153846153846,28.0,21.66666666666667,20.994067086129952
2015-02-08,33.0,26.25,35.0,39.7,41.16666666666666,34.10587555648425
2015-02-09,45.0,38.0,41.53846153846154,52.0,52.0,44.04796524329366
2015-02-10,35.0,29.75,27.30769230769231,47.6,40.66666666666666,34.408754186041
2015-02-11,35.0,32.5,22.0,37.2,28.66666666666667,29.768695689187076
2015-02-12,32.5,27.25,26.69230769230769,36.2,30.0,29.757305280068785
2015-02-13,30.0,27.5,18.0,35.3,23.33333333333333,25.946876483504806
2015-02-14,19.0,15.0,14.4,23.8,15.166666666666664,17.268173358491733
2015-02-15,26.0,18.75,16.153846153846153,32.0,21.166666666666668,21.70361474463396
2015-02-18,20.5,18.5,11.0,24.7,14.0,17.21786387543956
2015-02-19,19.5,17.25,11.909090909090908,23.9,14.166666666666664,16.967500210591414
2015-02-22,17.0,17.666666666666668,19.83333333333333,22.8,25.83333333333333,20.274813655690508
2015-02-23,38.0,36.25,21.58333333333333,42.9,33.5,32.55080993296671
2015-02-24,26.0,20.5,12.0,31.0,18.0,20.222048635949484
2015-02-25,17.5,13.0,11.166666666666664,21.6,16.166666666666668,14.946257391901288
2015-02-26,27.0,23.0,20.53846153846154,30.6,30.0,24.64833312529432
2015-02-27,28.5,22.75,13.4,32.3,25.83333333333333,22.227485794539444
2015-02-28,25.5,21.25,10.666666666666666,29.7,16.166666666666668,19.47556437919324
2015-03-01,23.0,19.25,12.5,26.2,22.0,18.904891433802952
2015-03-02,24.0,20.5,24.461538461538463,28.6,35.5,25.07240242222092
2015-03-03,35.0,32.75,21.153846153846157,40.4,33.0,30.628660000681556
2015-03-04,29.5,25.0,30.461538461538463,35.2,41.5,30.799791374277728
2015-03-05,40.5,39.75,29.615384615384613,49.6,42.5,38.848572594610445
2015-03-06,31.0,28.5,13.769230769230768,37.1,21.83333333333333,25.102197494219148
2015-03-07,17.0,16.5,12.416666666666664,23.7,14.666666666666664,16.842817440745566
2015-03-08,23.5,22.0,29.69230769230769,34.1,32.0,28.669592358171936
2015-03-09,40.5,38.66666666666666,34.769230769230774,49.6,44.16666666666666,40.530523875944134
2015-03-10,45.0,43.0,39.307692307692314,53.1,47.5,44.66478347482883
2015-03-11,45.0,43.66666666666666,39.384615384615394,51.3,48.33333333333334,44.44359567447149
2015-03-12,53.5,52.66666666666666,39.692307692307686,58.6,50.5,49.40098945889003
2015-03-13,42.5,39.75,38.307692307692314,49.8,47.0,42.40410683035041
2015-03-14,37.5,34.75,43.46153846153846,44.1,49.33333333333334,41.3528401392822
2015-03-15,47.0,43.5,46.46153846153846,52.3,52.66666666666666,47.56512135134484
2015-03-16,44.0,41.0,42.46153846153846,54.8,48.83333333333334,45.76376061610375
2015-03-17,44.5,41.25,53.153846153846146,56.7,56.33333333333334,50.70056776485522
2015-03-18,53.5,47.25,43.769230769230774,59.9,48.16666666666666,49.60361406717977
