DATE,MEAN_T
2020-01-01,49.425
2020-01-02,49.8
2020-01-03,50.7
2020-01-04,50.9
2020-01-05,50.5
2020-01-06,48.85
2020-01-07,49.775
2020-01-08,47.15
2020-01-09,47.375
2020-01-10,46.925
2020-01-11,46.225
2020-01-12,46.925
2020-01-13,45.225
2020-01-14,46.69230769230769
2020-01-15,46.41025641025641
2020-01-16,44.51282051282051
2020-01-17,45.875
2020-01-18,45.85
2020-01-19,47.175
2020-01-20,48.45
2020-01-21,50.25
2020-01-22,50.75
2020-01-23,52.225
2020-01-24,52.35
2020-01-25,53.65
2020-01-26,54.25
2020-01-27,54.3
2020-01-28,53.45
2020-01-29,52.7
2020-01-30,52.1
2020-01-31,53.925
2020-02-01,55.175
2020-02-02,55.5
2020-02-03,51.125
2020-02-04,45.3
2020-02-05,42.725
2020-02-06,45.2
2020-02-07,49.975
2020-02-08,51.425
2020-02-09,51.125
2020-02-10,50.6
2020-02-11,53.1
2020-02-12,52.825
2020-02-13,50.85
2020-02-14,50.15
2020-02-15,51.12820512820513
2020-02-16,51.43589743589744
2020-02-17,54.282051282051285
2020-02-18,54.1025641025641
2020-02-19,52.717948717948715
2020-02-20,52.05128205128205
2020-02-21,53.82051282051282
2020-02-22,56.05128205128205
2020-02-23,54.666666666666664
2020-02-24,53.38461538461539
2020-02-25,54.76923076923077
2020-02-26,57.1
2020-02-27,57.075
2020-02-28,58.25
2020-02-29,60.3
2020-03-01,55.25
2020-03-02,51.7
2020-03-03,53.61538461538461
2020-03-04,57.84615384615385
2020-03-05,57.9
2020-03-06,58.125
2020-03-07,57.575
2020-03-08,53.425
2020-03-09,51.825
2020-03-10,54.95
2020-03-11,57.275
2020-03-12,58.725
2020-03-13,57.025
2020-03-14,54.625
2020-03-15,52.925
2020-03-16,51.56410256410256
2020-03-17,49.69230769230769
2020-03-18,48.3421052631579
2020-03-19,48.15384615384615
2020-03-20,49.7
2020-03-21,50.975
2020-03-22,53.525
2020-03-23,55.175
2020-03-24,54.75
2020-03-25,52.4
2020-03-26,50.8
2020-03-27,48.3
2020-03-28,48.75
2020-03-29,51.125
2020-03-30,54.425
2020-03-31,56.25
2020-04-01,58.55
2020-04-02,56.125
2020-04-03,55.025
2020-04-04,53.975
2020-04-05,53.717948717948715
2020-04-06,53.775
2020-04-07,52.35
2020-04-08,54.025
2020-04-09,54.75
2020-04-10,54.25
2020-04-11,55.69230769230769
2020-04-12,57.475
2020-04-13,58.575
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
