DATE,MEAN_T
2015-01-01,16.2
2015-01-02,13.0
2015-01-03,17.733333333333334
2015-01-04,17.105263157894736
2015-01-05,15.9375
2015-01-06,26.2
2015-01-07,31.7
2015-01-08,26.65
2015-01-09,32.8
2015-01-10,25.736842105263158
2015-01-11,32.25
2015-01-12,33.1
2015-01-13,28.05
2015-01-14,27.45
2015-01-15,27.35
2015-01-16,29.8
2015-01-17,33.5
2015-01-18,33.65
2015-01-19,37.1
2015-01-20,36.9
2015-01-21,30.5
2015-01-22,25.210526315789473
2015-01-23,20.11764705882353
2015-01-24,24.85
2015-01-25,30.85
2015-01-26,36.45
2015-01-27,42.0
2015-01-28,44.35
2015-01-29,41.95
2015-01-30,37.45
2015-01-31,35.9
2015-02-01,34.05
2015-02-02,25.9
2015-02-03,35.25
2015-02-04,41.9
2015-02-05,34.9
2015-02-06,41.15
2015-02-07,46.95
2015-02-08,48.1
2015-02-09,45.8
2015-02-10,44.8
2015-02-11,42.7
2015-02-12,36.55
2015-02-13,38.5
2015-02-14,42.5
2015-02-15,44.0
2015-02-16,33.4
2015-02-17,27.894736842105264
2015-02-18,26.157894736842106
2015-02-19,31.85
2015-02-20,40.2
2015-02-21,39.1
2015-02-22,28.5
2015-02-23,18.736842105263158
2015-02-24,18.75
2015-02-25,24.0
2015-02-26,29.35
2015-02-27,19.526315789473685
2015-02-28,19.3125
2015-03-01,20.055555555555557
2015-03-02,24.85
2015-03-03,35.05
2015-03-04,31.45
2015-03-05,19.944444444444443
2015-03-06,24.473684210526315
2015-03-07,34.3
2015-03-08,38.3
2015-03-09,40.25
2015-03-10,40.55
2015-03-11,43.2
2015-03-12,44.8
2015-03-13,47.1
2015-03-14,47.35
2015-03-15,45.65
2015-03-16,52.2
2015-03-17,54.0
2015-03-18,46.05
2015-03-19,49.25
2015-03-20,42.55
2015-03-21,45.65
2015-03-22,48.10526315789474
2015-03-23,51.31578947368421
2015-03-24,49.3
2015-03-25,45.95
2015-03-26,38.3
2015-03-27,41.05
2015-03-28,49.1
2015-03-29,54.9
2015-03-30,51.45
2015-03-31,52.05
2015-04-01,53.45
2015-04-02,54.63157894736842
2015-04-03,45.1
2015-04-04,37.35
2015-04-05,43.3
2015-04-06,50.85
2015-04-07,53.5
2015-04-08,50.85
2015-04-09,49.4
2015-04-10,40.9
2015-04-11,45.25
2015-04-12,49.6
2015-04-13,50.85
2015-04-14,47.2
2015-04-15,51.75
2015-04-16,47.45
2015-04-17,38.7
2015-04-18,41.1
2015-04-19,39.75
2015-04-20,42.6
2015-04-21,45.35
2015-04-22,49.3
2015-04-23,49.4
2015-04-24,51.65
2015-04-25,49.6
2015-04-26,50.05
2015-04-27,44.5
2015-04-28,45.75
2015-04-29,48.7
2015-04-30,53.35
2015-05-01,58.8
2015-05-02,57.95
2015-05-03,59.6
2015-05-04,58.9
2015-05-05,54.85
2015-05-06,51.35
2015-05-07,54.1
2015-05-08,52.9
2015-05-09,51.4
2015-05-10,45.05
2015-05-11,41.15
2015-05-12,45.3
2015-05-13,54.6
2015-05-14,54.4
2015-05-15,55.45
2015-05-16,53.05
2015-05-17,49.55
2015-05-18,53.25
2015-05-19,51.8
2015-05-20,46.0
2015-05-21,46.05
2015-05-22,50.25
2015-05-23,53.75
2015-05-24,52.15
2015-05-25,49.85
2015-05-26,52.6
2015-05-27,55.0
2015-05-28,59.35
2015-05-29,57.45
2015-05-30,55.35
2015-05-31,56.6
2015-06-01,64.35
2015-06-02,66.65
2015-06-03,66.95
2015-06-04,63.05
2015-06-05,66.2
2015-06-06,63.25
2015-06-07,62.0
2015-06-08,61.25
2015-06-09,62.7
2015-06-10,67.35
2015-06-11,66.6
2015-06-12,63.15
2015-06-13,61.89473684210526
2015-06-14,65.63157894736842
2015-06-15,64.84210526315789
2015-06-16,64.73684210526316
2015-06-17,69.15789473684211
2015-06-18,69.55
2015-06-19,69.7
2015-06-20,71.55
2015-06-21,72.10526315789474
2015-06-22,73.84210526315789
2015-06-23,72.65
2015-06-24,72.9
2015-06-25,74.25
2015-06-26,72.1
2015-06-27,69.9
2015-06-28,72.0
2015-06-29,72.9
2015-06-30,73.25
2015-07-01,74.95
2015-07-02,75.8
2015-07-03,72.25
2015-07-04,71.7
2015-07-05,73.95
2015-07-06,71.6
2015-07-07,66.7
2015-07-08,63.05
2015-07-09,63.5
2015-07-10,64.5
2015-07-11,67.3
2015-07-12,69.0
2015-07-13,71.85
2015-07-14,73.9
2015-07-15,71.55
2015-07-16,68.55
2015-07-17,69.45
2015-07-18,71.8
2015-07-19,70.2
2015-07-20,68.7
2015-07-21,69.2
2015-07-22,67.7
2015-07-23,69.55
2015-07-24,73.05
2015-07-25,72.2
2015-07-26,72.7
2015-07-27,72.78947368421052
2015-07-28,75.10526315789474
2015-07-29,69.3
2015-07-30,68.5
2015-07-31,70.6
2015-08-01,71.3
2015-08-02,72.55
2015-08-03,72.4
2015-08-04,70.2
2015-08-05,70.8
2015-08-06,72.4
2015-08-07,73.8
2015-08-08,72.1
2015-08-09,71.05
2015-08-10,70.45
2015-08-11,69.85
2015-08-12,71.8
2015-08-13,73.2
2015-08-14,74.5
2015-08-15,75.15
2015-08-16,76.9
2015-08-17,75.15789473684211
2015-08-18,70.63157894736842
2015-08-19,64.45
2015-08-20,61.2
2015-08-21,66.4
2015-08-22,70.85
2015-08-23,71.6
2015-08-24,65.1
2015-08-25,68.9
2015-08-26,72.2
2015-08-27,71.55
2015-08-28,70.3
2015-08-29,68.4
2015-08-30,68.5
2015-08-31,71.55
2015-09-01,69.85
2015-09-02,68.8
2015-09-03,70.4
2015-09-04,69.45
2015-09-05,66.65
2015-09-06,69.45
2015-09-07,67.9
2015-09-08,67.15
2015-09-09,66.1
2015-09-10,66.0
2015-09-11,66.05
2015-09-12,63.0
2015-09-13,66.1
2015-09-14,67.55
2015-09-15,67.3
2015-09-16,68.05
2015-09-17,67.45
2015-09-18,64.7
2015-09-19,59.35
2015-09-20,58.55
2015-09-21,61.6
2015-09-22,64.65
2015-09-23,64.55
2015-09-24,65.55
2015-09-25,64.0
2015-09-26,63.7
2015-09-27,63.05
2015-09-28,65.9
2015-09-29,65.5
2015-09-30,63.36842105263158
2015-10-01,64.55
2015-10-02,65.35
2015-10-03,60.473684210526315
2015-10-04,55.7
2015-10-05,55.75
2015-10-06,56.25
2015-10-07,56.35
2015-10-08,57.3
2015-10-09,58.3
2015-10-10,58.1
2015-10-11,61.6
2015-10-12,63.4
2015-10-13,56.95
2015-10-14,59.15
2015-10-15,59.15
2015-10-16,56.05
2015-10-17,53.25
2015-10-18,55.7
2015-10-19,60.3
2015-10-20,58.4
2015-10-21,55.55
2015-10-22,49.15
2015-10-23,46.7
2015-10-24,47.75
2015-10-25,47.0
2015-10-26,50.35
2015-10-27,50.35
2015-10-28,47.25
2015-10-29,42.0
2015-10-30,44.9
2015-10-31,41.8
2015-11-01,46.2
2015-11-02,50.75
2015-11-03,52.85
2015-11-04,53.3
2015-11-05,47.5
2015-11-06,36.8
2015-11-07,35.3
2015-11-08,35.7
2015-11-09,39.4
2015-11-10,40.75
2015-11-11,44.65
2015-11-12,33.2
2015-11-13,32.85
2015-11-14,36.1
2015-11-15,39.8
2015-11-16,40.3
2015-11-17,39.85
2015-11-18,32.526315789473685
2015-11-19,35.45
2015-11-20,33.55
2015-11-21,37.65
2015-11-22,27.1
2015-11-23,34.5
2015-11-24,37.6
2015-11-25,40.05
2015-11-26,39.65
2015-11-27,27.9
2015-11-28,21.31578947368421
2015-11-29,22.85
2015-11-30,24.3
2015-12-01,20.526315789473685
2015-12-02,24.055555555555557
2015-12-03,28.157894736842106
2015-12-04,31.45
2015-12-05,35.7
2015-12-06,33.35
2015-12-07,31.45
2015-12-08,35.05
2015-12-09,40.25
2015-12-10,41.8
2015-12-11,41.0
2015-12-12,41.15
2015-12-13,29.0
2015-12-14,26.894736842105264
2015-12-15,28.2
2015-12-16,20.3
2015-12-17,19.333333333333332
2015-12-18,16.941176470588236
2015-12-19,24.65
2015-12-20,30.0
2015-12-21,34.5
2015-12-22,32.95
2015-12-23,35.8
2015-12-24,26.9
2015-12-25,22.375
2015-12-26,25.055555555555557
2015-12-27,17.785714285714285
2015-12-28,18.583333333333332
2015-12-29,17.5
2015-12-30,15.294117647058824
2015-12-31,17.529411764705884
2016-01-01,16.58823529411765
2016-01-02,18.533333333333335
2016-01-03,23.41176470588235
2016-01-04,25.63157894736842
2016-01-05,26.4
2016-01-06,29.904761904761905
2016-01-07,31.285714285714285
2016-01-08,30.142857142857142
2016-01-09,22.85
2016-01-10,19.4
2016-01-11,18.555555555555557
2016-01-12,22.125
2016-01-13,24.11111111111111
2016-01-14,27.36842105263158
2016-01-15,27.842105263157894
2016-01-16,23.7
2016-01-17,23.0
2016-01-18,22.428571428571427
2016-01-19,29.142857142857142
2016-01-20,29.476190476190474
2016-01-21,31.238095238095237
2016-01-22,24.095238095238095
2016-01-23,28.7
2016-01-24,33.23809523809524
2016-01-25,33.61904761904762
2016-01-26,25.3
2016-01-27,25.647058823529413
2016-01-28,28.95
2016-01-29,33.05
2016-01-30,36.285714285714285
2016-01-31,42.0
2016-02-01,29.047619047619047
2016-02-02,26.095238095238095
2016-02-03,17.6
2016-02-04,15.285714285714286
2016-02-05,18.727272727272727
2016-02-06,20.666666666666668
2016-02-07,23.05
2016-02-08,26.095238095238095
2016-02-09,28.25
2016-02-10,33.55
2016-02-11,37.61904761904762
2016-02-12,37.42857142857143
2016-02-13,37.76190476190476
2016-02-14,38.476190476190474
2016-02-15,34.38095238095238
2016-02-16,39.0
2016-02-17,39.80952380952381
2016-02-18,42.38095238095238
2016-02-19,50.523809523809526
2016-02-20,43.0
2016-02-21,43.04761904761905
2016-02-22,35.904761904761905
2016-02-23,35.142857142857146
2016-02-24,30.142857142857142
2016-02-25,30.952380952380953
2016-02-26,31.714285714285715
2016-02-27,39.142857142857146
2016-02-28,45.0
2016-02-29,43.523809523809526
2016-03-01,43.095238095238095
2016-03-02,39.476190476190474
2016-03-03,45.57142857142857
2016-03-04,41.76190476190476
2016-03-05,45.904761904761905
2016-03-06,45.57142857142857
2016-03-07,48.80952380952381
2016-03-08,41.714285714285715
2016-03-09,36.95238095238095
2016-03-10,37.904761904761905
2016-03-11,42.523809523809526
2016-03-12,48.523809523809526
2016-03-13,48.0
2016-03-14,47.95238095238095
2016-03-15,47.714285714285715
2016-03-16,37.285714285714285
2016-03-17,36.57142857142857
2016-03-18,37.95238095238095
2016-03-19,30.714285714285715
2016-03-20,30.666666666666668
2016-03-21,35.904761904761905
2016-03-22,49.61904761904762
2016-03-23,52.42857142857143
2016-03-24,35.35
2016-03-25,34.35
2016-03-26,36.666666666666664
2016-03-27,27.476190476190474
2016-03-28,33.476190476190474
2016-03-29,46.0
2016-03-30,47.57142857142857
2016-03-31,36.904761904761905
2016-04-01,33.95238095238095
2016-04-02,34.714285714285715
2016-04-03,42.38095238095238
2016-04-04,48.57142857142857
2016-04-05,51.57142857142857
2016-04-06,49.61904761904762
2016-04-07,44.333333333333336
2016-04-08,49.23809523809524
2016-04-09,50.61904761904762
2016-04-10,52.42857142857143
2016-04-11,52.38095238095238
2016-04-12,46.0
2016-04-13,50.23809523809524
2016-04-14,52.666666666666664
2016-04-15,55.95238095238095
2016-04-16,47.333333333333336
2016-04-17,36.857142857142854
2016-04-18,37.523809523809526
2016-04-19,37.95238095238095
2016-04-20,39.76190476190476
2016-04-21,46.476190476190474
2016-04-22,50.42857142857143
2016-04-23,56.38095238095238
2016-04-24,58.80952380952381
2016-04-25,52.19047619047619
2016-04-26,52.0
2016-04-27,44.523809523809526
2016-04-28,44.0
2016-04-29,42.76190476190476
2016-04-30,38.0
2016-05-01,38.57142857142857
2016-05-02,39.19047619047619
2016-05-03,44.714285714285715
2016-05-04,50.904761904761905
2016-05-05,55.57142857142857
2016-05-06,60.095238095238095
2016-05-07,62.57142857142857
2016-05-08,51.714285714285715
2016-05-09,48.57142857142857
2016-05-10,53.714285714285715
2016-05-11,54.04761904761905
2016-05-12,48.57142857142857
2016-05-13,52.23809523809524
2016-05-14,57.23809523809524
2016-05-15,54.04761904761905
2016-05-16,54.57142857142857
2016-05-17,48.285714285714285
2016-05-18,47.38095238095238
2016-05-19,51.285714285714285
2016-05-20,54.57142857142857
2016-05-21,60.95238095238095
2016-05-22,64.76190476190476
2016-05-23,61.476190476190474
2016-05-24,56.23809523809524
2016-05-25,59.142857142857146
2016-05-26,58.61904761904762
2016-05-27,55.38095238095238
2016-05-28,51.666666666666664
2016-05-29,54.857142857142854
2016-05-30,59.523809523809526
2016-05-31,60.095238095238095
2016-06-01,58.285714285714285
2016-06-02,60.38095238095238
2016-06-03,63.61904761904762
2016-06-04,65.76190476190476
2016-06-05,65.9047619047619
2016-06-06,67.23809523809524
2016-06-07,69.19047619047619
2016-06-08,67.65
2016-06-09,68.33333333333333
2016-06-10,70.57142857142857
2016-06-11,72.28571428571429
2016-06-12,71.45
2016-06-13,70.57142857142857
2016-06-14,64.38095238095238
