DATE,MEAN_T
2020-01-01,23.136363636363637
2020-01-02,29.6
2020-01-03,28.16
2020-01-04,26.72
2020-01-05,32.44
2020-01-06,27.423076923076923
2020-01-07,26.68
2020-01-08,32.28
2020-01-09,33.4
2020-01-10,28.46153846153846
2020-01-11,21.09090909090909
2020-01-12,21.90909090909091
2020-01-13,24.84
2020-01-14,28.384615384615383
2020-01-15,32.42307692307692
2020-01-16,28.5
2020-01-17,26.192307692307693
2020-01-18,32.0
2020-01-19,23.48
2020-01-20,25.863636363636363
2020-01-21,28.90909090909091
2020-01-22,34.53846153846154
2020-01-23,36.11538461538461
2020-01-24,30.807692307692307
2020-01-25,32.80769230769231
2020-01-26,35.34615384615385
2020-01-27,34.57692307692308
2020-01-28,30.576923076923077
2020-01-29,27.23076923076923
2020-01-30,29.615384615384617
2020-01-31,27.192307692307693
2020-02-01,28.692307692307693
2020-02-02,39.03846153846154
2020-02-03,43.80769230769231
2020-02-04,29.23076923076923
2020-02-05,14.733333333333333
2020-02-06,13.529411764705882
2020-02-07,22.76923076923077
2020-02-08,27.76923076923077
2020-02-09,33.11538461538461
2020-02-10,27.56
2020-02-11,25.92
2020-02-12,22.333333333333332
2020-02-13,23.653846153846153
2020-02-14,21.73076923076923
2020-02-15,31.73076923076923
2020-02-16,31.884615384615383
2020-02-17,36.26923076923077
2020-02-18,32.69230769230769
2020-02-19,26.52
2020-02-20,24.48
2020-02-21,19.791666666666668
2020-02-22,30.8
2020-02-23,38.11538461538461
2020-02-24,34.84615384615385
2020-02-25,30.76
2020-02-26,21.272727272727273
2020-02-27,23.0
2020-02-28,32.15384615384615
2020-02-29,35.46153846153846
2020-03-01,39.38461538461539
2020-03-02,37.92307692307692
2020-03-03,34.96153846153846
2020-03-04,36.26923076923077
2020-03-05,39.53846153846154
2020-03-06,37.34615384615385
2020-03-07,43.73076923076923
2020-03-08,47.92307692307692
2020-03-09,48.96
2020-03-10,44.30769230769231
2020-03-11,43.88461538461539
2020-03-12,44.84615384615385
2020-03-13,44.0
2020-03-14,35.88461538461539
2020-03-15,37.46153846153846
2020-03-16,41.19230769230769
2020-03-17,42.61538461538461
2020-03-18,43.96153846153846
2020-03-19,45.52
2020-03-20,35.69230769230769
2020-03-21,30.5
2020-03-22,35.57692307692308
2020-03-23,40.30769230769231
2020-03-24,41.57692307692308
2020-03-25,45.30769230769231
2020-03-26,49.46153846153846
2020-03-27,47.96153846153846
2020-03-28,38.42307692307692
2020-03-29,34.80769230769231
2020-03-30,38.07692307692308
2020-03-31,43.34615384615385
2020-04-01,46.65384615384615
2020-04-02,50.92307692307692
2020-04-03,34.92307692307692
2020-04-04,31.807692307692307
2020-04-05,41.73076923076923
2020-04-06,49.34615384615385
2020-04-07,52.30769230769231
2020-04-08,52.96153846153846
2020-04-09,51.23076923076923
2020-04-10,47.61538461538461
2020-04-11,50.92307692307692
2020-04-12,49.61538461538461
2020-04-13,34.30769230769231
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
