DATE,MEAN_T
2015-01-01,28.5
2015-01-02,32.5
2015-01-03,37.5
2015-01-04,36.0
2015-01-05,55.5
2015-01-06,39.5
2015-01-07,23.5
2015-01-08,20.5
2015-01-09,15.0
2015-01-10,28.5
2015-01-11,18.0
2015-01-12,26.5
2015-01-13,39.5
2015-01-14,32.5
2015-01-15,29.0
2015-01-16,33.0
2015-01-17,35.0
2015-01-18,27.0
2015-01-19,39.5
2015-01-20,37.5
2015-01-21,38.0
2015-01-22,31.5
2015-01-23,36.0
2015-01-24,33.5
2015-01-25,37.0
2015-01-26,42.0
2015-01-27,34.5
2015-01-28,30.0
2015-01-29,28.0
2015-01-30,26.0
2015-01-31,32.5
2015-02-01,23.5
2015-02-02,30.0
2015-02-03,37.0
2015-02-04,26.0
2015-02-05,36.5
2015-02-06,30.0
2015-02-07,23.5
2015-02-08,33.0
2015-02-09,45.0
2015-02-10,35.0
2015-02-11,35.0
2015-02-12,32.5
2015-02-13,30.0
2015-02-14,19.0
2015-02-15,26.0
2015-02-16,13.5
2015-02-17,13.0
2015-02-18,20.5
2015-02-19,19.5
2015-02-20,15.5
2015-02-21,10.0
2015-02-22,17.0
2015-02-23,38.0
2015-02-24,26.0
2015-02-25,17.5
2015-02-26,27.0
2015-02-27,28.5
2015-02-28,25.5
2015-03-01,23.0
2015-03-02,24.0
2015-03-03,35.0
2015-03-04,29.5
2015-03-05,40.5
2015-03-06,31.0
2015-03-07,17.0
2015-03-08,23.5
2015-03-09,40.5
2015-03-10,45.0
2015-03-11,45.0
2015-03-12,53.5
2015-03-13,42.5
2015-03-14,37.5
2015-03-15,47.0
2015-03-16,44.0
2015-03-17,44.5
2015-03-18,53.5
2015-03-19,37.0
2015-03-20,35.0
2015-03-21,35.5
2015-03-22,43.5
2015-03-23,42.0
2015-03-24,35.5
2015-03-25,35.0
2015-03-26,36.5
2015-03-27,57.5
2015-03-28,46.0
2015-03-29,33.5
2015-03-30,34.0
2015-03-31,47.0
2015-04-01,50.0
2015-04-02,44.0
2015-04-03,49.5
2015-04-04,62.5
2015-04-05,53.5
2015-04-06,49.5
2015-04-07,56.5
2015-04-08,57.0
2015-04-09,43.0
2015-04-10,42.0
2015-04-11,54.0
2015-04-12,53.0
2015-04-13,50.5
2015-04-14,57.5
2015-04-15,57.0
2015-04-16,57.5
2015-04-17,57.0
2015-04-18,64.0
2015-04-19,66.0
2015-04-20,57.0
2015-04-21,67.5
2015-04-22,58.5
2015-04-23,57.5
2015-04-24,48.0
2015-04-25,47.0
2015-04-26,43.0
2015-04-27,51.5
2015-04-28,50.0
2015-04-29,59.0
2015-04-30,60.5
2015-05-01,61.0
2015-05-02,52.0
2015-05-03,57.5
2015-05-04,64.0
2015-05-05,67.5
2015-05-06,73.0
2015-05-07,68.0
2015-05-08,65.0
2015-05-09,67.5
2015-05-10,70.5
2015-05-11,74.0
2015-05-12,73.5
2015-05-13,75.5
2015-05-14,63.0
2015-05-15,59.5
2015-05-16,62.0
2015-05-17,72.0
2015-05-18,76.0
2015-05-19,75.5
2015-05-20,73.0
2015-05-21,61.5
2015-05-22,53.0
2015-05-23,61.5
2015-05-24,60.0
2015-05-25,63.0
2015-05-26,72.0
2015-05-27,75.0
2015-05-28,79.0
2015-05-29,78.0
2015-05-30,75.0
2015-05-31,76.5
2015-06-01,79.0
2015-06-02,75.5
2015-06-03,59.0
2015-06-04,58.5
2015-06-05,60.5
2015-06-06,63.0
2015-06-07,70.0
2015-06-08,65.0
2015-06-09,72.0
2015-06-10,76.5
2015-06-11,72.0
2015-06-12,78.5
2015-06-13,82.5
2015-06-14,81.0
2015-06-15,80.5
2015-06-16,81.0
2015-06-17,82.5
2015-06-18,75.0
2015-06-19,74.0
2015-06-20,78.0
2015-06-21,78.5
2015-06-22,80.5
2015-06-23,80.5
2015-06-24,82.0
2015-06-25,74.0
2015-06-26,72.5
2015-06-27,71.5
2015-06-28,68.0
2015-06-29,72.5
2015-06-30,71.0
2015-07-01,75.0
2015-07-02,77.0
2015-07-03,70.0
2015-07-04,71.5
2015-07-05,73.5
2015-07-06,74.0
2015-07-07,79.5
2015-07-08,81.5
2015-07-09,82.5
2015-07-10,80.0
2015-07-11,77.5
2015-07-12,76.5
2015-07-13,75.0
2015-07-14,75.5
2015-07-15,79.5
2015-07-16,74.0
2015-07-17,71.0
2015-07-18,71.5
2015-07-19,80.0
2015-07-20,83.5
2015-07-21,85.5
2015-07-22,81.5
2015-07-23,74.5
2015-07-24,73.0
2015-07-25,73.5
2015-07-26,74.0
2015-07-27,78.0
2015-07-28,77.0
2015-07-29,80.0
2015-07-30,80.0
2015-07-31,82.5
2015-08-01,78.5
2015-08-02,79.0
2015-08-03,77.0
2015-08-04,78.5
2015-08-05,81.0
2015-08-06,78.0
2015-08-07,74.5
2015-08-08,75.0
2015-08-09,72.0
2015-08-10,74.0
2015-08-11,71.0
2015-08-12,77.0
2015-08-13,74.5
2015-08-14,73.0
2015-08-15,72.0
2015-08-16,75.5
2015-08-17,77.0
2015-08-18,78.5
2015-08-19,79.0
2015-08-20,81.0
2015-08-21,80.0
2015-08-22,80.0
2015-08-23,73.5
2015-08-24,71.5
2015-08-25,75.0
2015-08-26,75.0
2015-08-27,72.0
2015-08-28,70.5
2015-08-29,70.5
2015-08-30,72.0
2015-08-31,76.5
2015-09-01,80.5
2015-09-02,81.0
2015-09-03,81.0
2015-09-04,82.0
2015-09-05,80.0
2015-09-06,74.0
2015-09-07,72.0
2015-09-08,77.5
2015-09-09,80.0
2015-09-10,82.5
2015-09-11,75.0
2015-09-12,73.5
2015-09-13,70.5
2015-09-14,65.0
2015-09-15,64.5
2015-09-16,68.0
2015-09-17,70.5
2015-09-18,72.0
2015-09-19,70.0
2015-09-20,73.5
2015-09-21,71.0
2015-09-22,67.0
2015-09-23,68.5
2015-09-24,67.5
2015-09-25,65.5
2015-09-26,69.5
2015-09-27,68.0
2015-09-28,69.0
2015-09-29,73.5
2015-09-30,75.5
2015-10-01,73.0
2015-10-02,61.0
2015-10-03,54.0
2015-10-04,55.5
2015-10-05,58.5
2015-10-06,58.0
2015-10-07,60.5
2015-10-08,64.5
2015-10-09,63.5
2015-10-10,68.5
2015-10-11,55.5
2015-10-12,55.5
2015-10-13,59.0
2015-10-14,66.0
2015-10-15,60.5
2015-10-16,56.5
2015-10-17,55.5
2015-10-18,49.0
2015-10-19,43.5
