DATE,MEAN_T
2020-01-01,64.89285714285714
2020-01-02,64.4
2020-01-03,69.76666666666667
2020-01-04,76.73333333333333
2020-01-05,72.24137931034483
2020-01-06,58.9
2020-01-07,59.3
2020-01-08,62.766666666666666
2020-01-09,61.9
2020-01-10,68.3
2020-01-11,72.82608695652173
2020-01-12,77.37931034482759
2020-01-13,76.89655172413794
2020-01-14,75.73333333333333
2020-01-15,74.76666666666667
2020-01-16,74.06666666666666
2020-01-17,73.13333333333334
2020-01-18,72.23333333333333
2020-01-19,71.7
2020-01-20,70.5
2020-01-21,60.03448275862069
2020-01-22,51.63333333333333
2020-01-23,49.03333333333333
2020-01-24,63.166666666666664
2020-01-25,68.34482758620689
2020-01-26,62.93103448275862
2020-01-27,58.766666666666666
2020-01-28,63.43333333333333
2020-01-29,63.96551724137931
2020-01-30,63.46666666666667
2020-01-31,64.9
2020-02-01,66.8
2020-02-02,63.333333333333336
2020-02-03,58.0
2020-02-04,59.733333333333334
2020-02-05,65.73333333333333
2020-02-06,70.83333333333333
2020-02-07,76.58620689655173
2020-02-08,64.53333333333333
2020-02-09,61.4
2020-02-10,68.1
2020-02-11,73.16666666666667
2020-02-12,76.13333333333334
2020-02-13,76.8
2020-02-14,77.86666666666666
2020-02-15,72.06666666666666
2020-02-16,69.76666666666667
2020-02-17,73.0
2020-02-18,74.13793103448276
2020-02-19,76.79310344827586
2020-02-20,77.55172413793103
2020-02-21,75.51724137931035
2020-02-22,62.206896551724135
2020-02-23,61.6551724137931
2020-02-24,66.85714285714286
2020-02-25,69.34482758620689
2020-02-26,74.44827586206897
2020-02-27,72.93103448275862
2020-02-28,58.310344827586206
2020-02-29,56.10344827586207
2020-03-01,58.793103448275865
2020-03-02,60.206896551724135
2020-03-03,68.48275862068965
2020-03-04,73.48275862068965
2020-03-05,75.75862068965517
2020-03-06,79.25
2020-03-07,69.71428571428571
2020-03-08,62.214285714285715
2020-03-09,66.10714285714286
2020-03-10,69.51724137931035
2020-03-11,72.58620689655173
2020-03-12,72.41379310344827
2020-03-13,73.62068965517241
2020-03-14,73.89655172413794
2020-03-15,75.78571428571429
2020-03-16,76.27586206896552
2020-03-17,75.24137931034483
2020-03-18,76.51724137931035
2020-03-19,76.6896551724138
2020-03-20,77.51724137931035
2020-03-21,77.6896551724138
2020-03-22,77.06896551724138
2020-03-23,76.55172413793103
2020-03-24,77.03448275862068
2020-03-25,77.44827586206897
2020-03-26,78.37931034482759
2020-03-27,78.51724137931035
2020-03-28,78.13793103448276
2020-03-29,77.71428571428571
2020-03-30,78.82142857142857
2020-03-31,78.86206896551724
2020-04-01,79.93103448275862
2020-04-02,72.03448275862068
2020-04-03,69.3103448275862
2020-04-04,71.82758620689656
2020-04-05,74.20689655172414
2020-04-06,72.85714285714286
2020-04-07,75.72413793103448
2020-04-08,76.93103448275862
2020-04-09,79.5
2020-04-10,81.51724137931035
2020-04-11,78.96551724137932
2020-04-12,75.46428571428571
2020-04-13,82.53571428571429
2020-04-14,84.37037037037037
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
