DATE,MEAN_T
2015-01-01,68.8
2015-01-02,68.6
2015-01-03,70.4
2015-01-04,69.0
2015-01-05,68.0
2015-01-06,68.0
2015-01-07,69.8
2015-01-08,69.0
2015-01-09,69.75
2015-01-10,71.4
2015-01-11,71.4
2015-01-12,70.4
2015-01-13,70.4
2015-01-14,70.2
2015-01-15,71.4
2015-01-16,73.6
2015-01-17,72.8
2015-01-18,72.2
2015-01-19,71.8
2015-01-20,72.4
2015-01-21,72.8
2015-01-22,71.6
2015-01-23,72.6
2015-01-24,74.25
2015-01-25,72.6
2015-01-26,71.4
2015-01-27,71.6
2015-01-28,72.0
2015-01-29,73.2
2015-01-30,73.2
2015-01-31,71.6
2015-02-01,72.8
2015-02-02,72.8
2015-02-03,73.8
2015-02-04,77.0
2015-02-05,76.8
2015-02-06,72.4
2015-02-07,72.0
2015-02-08,70.0
2015-02-09,70.6
2015-02-10,76.0
2015-02-11,74.8
2015-02-12,73.2
2015-02-13,71.0
2015-02-14,75.8
2015-02-15,73.6
2015-02-16,69.4
2015-02-17,69.8
2015-02-18,72.4
2015-02-19,72.0
2015-02-20,74.4
2015-02-21,72.4
2015-02-22,71.4
2015-02-23,73.4
2015-02-24,74.8
2015-02-25,73.4
2015-02-26,73.6
2015-02-27,74.4
2015-02-28,74.4
2015-03-01,74.8
2015-03-02,75.0
2015-03-03,75.4
2015-03-04,75.4
2015-03-05,71.4
2015-03-06,71.6
2015-03-07,70.6
2015-03-08,70.0
2015-03-09,69.2
2015-03-10,68.6
2015-03-11,68.4
2015-03-12,69.4
2015-03-13,70.2
2015-03-14,69.4
2015-03-15,70.75
2015-03-16,70.8
2015-03-17,70.6
2015-03-18,71.0
2015-03-19,72.2
2015-03-20,72.4
2015-03-21,74.4
2015-03-22,74.4
2015-03-23,74.8
2015-03-24,74.6
2015-03-25,73.2
2015-03-26,73.4
2015-03-27,73.4
2015-03-28,74.6
2015-03-29,73.8
2015-03-30,74.2
2015-03-31,75.8
2015-04-01,75.4
2015-04-02,75.6
2015-04-03,76.2
2015-04-04,74.8
2015-04-05,76.4
2015-04-06,76.8
2015-04-07,74.6
2015-04-08,74.0
2015-04-09,74.6
2015-04-10,74.8
2015-04-11,74.2
2015-04-12,75.6
2015-04-13,75.6
2015-04-14,75.0
2015-04-15,75.6
2015-04-16,75.8
2015-04-17,75.4
2015-04-18,76.2
2015-04-19,76.6
2015-04-20,75.4
2015-04-21,75.2
2015-04-22,75.6
2015-04-23,76.6
2015-04-24,76.8
2015-04-25,77.6
2015-04-26,76.8
2015-04-27,77.2
2015-04-28,75.8
2015-04-29,77.2
2015-04-30,76.8
2015-05-01,76.8
2015-05-02,75.0
2015-05-03,75.2
2015-05-04,75.4
2015-05-05,76.2
2015-05-06,75.0
2015-05-07,75.5
2015-05-08,76.0
2015-05-09,75.4
2015-05-10,76.4
2015-05-11,76.0
2015-05-12,75.6
2015-05-13,75.6
2015-05-14,76.0
2015-05-15,75.0
2015-05-16,75.6
2015-05-17,75.8
2015-05-18,75.8
2015-05-19,75.8
2015-05-20,76.5
2015-05-21,74.25
2015-05-22,73.5
2015-05-23,74.5
2015-05-24,75.0
2015-05-25,74.5
2015-05-26,72.75
2015-05-27,73.75
2015-05-28,74.0
2015-05-29,75.33333333333333
2015-05-30,75.25
2015-05-31,76.33333333333333
2015-06-01,76.33333333333333
2015-06-02,76.5
2015-06-03,77.0
2015-06-04,77.0
2015-06-05,78.25
2015-06-06,75.66666666666667
2015-06-07,76.25
