DATE,MEAN_T
2020-01-01,75.66666666666667
2020-01-02,74.66666666666667
2020-01-03,74.0
2020-01-04,75.5
2020-01-05,76.33333333333333
2020-01-06,77.66666666666667
2020-01-07,77.5
2020-01-08,76.83333333333333
2020-01-09,76.83333333333333
2020-01-10,75.66666666666667
2020-01-11,76.8
2020-01-12,77.2
2020-01-13,74.4
2020-01-14,76.5
2020-01-15,76.2
2020-01-16,76.33333333333333
2020-01-17,75.0
2020-01-18,74.71428571428571
2020-01-19,74.0
2020-01-20,74.2
2020-01-21,74.0
2020-01-22,73.0
2020-01-23,71.66666666666667
2020-01-24,72.0
2020-01-25,73.42857142857143
2020-01-26,74.33333333333333
2020-01-27,74.85714285714286
2020-01-28,73.85714285714286
2020-01-29,73.4
2020-01-30,74.33333333333333
2020-01-31,74.5
2020-02-01,74.16666666666667
2020-02-02,74.83333333333333
2020-02-03,73.33333333333333
2020-02-04,74.33333333333333
2020-02-05,73.66666666666667
2020-02-06,73.33333333333333
2020-02-07,71.83333333333333
2020-02-08,69.66666666666667
2020-02-09,69.0
2020-02-10,70.66666666666667
2020-02-11,69.33333333333333
2020-02-12,71.5
2020-02-13,73.0
2020-02-14,77.0
2020-02-15,77.33333333333333
2020-02-16,76.42857142857143
2020-02-17,74.83333333333333
2020-02-18,74.83333333333333
2020-02-19,76.0
2020-02-20,75.0
2020-02-21,74.33333333333333
2020-02-22,74.66666666666667
2020-02-23,74.33333333333333
2020-02-24,73.5
2020-02-25,73.33333333333333
2020-02-26,76.0
2020-02-27,76.0
2020-02-28,75.33333333333333
2020-02-29,74.16666666666667
2020-03-01,73.66666666666667
2020-03-02,73.33333333333333
2020-03-03,74.16666666666667
2020-03-04,75.0
2020-03-05,75.5
2020-03-06,74.66666666666667
2020-03-07,75.5
2020-03-08,74.83333333333333
2020-03-09,74.83333333333333
2020-03-10,73.33333333333333
2020-03-11,72.5
2020-03-12,73.6
2020-03-13,73.16666666666667
2020-03-14,74.28571428571429
2020-03-15,74.5
2020-03-16,75.85714285714286
2020-03-17,76.16666666666667
2020-03-18,73.83333333333333
2020-03-19,75.5
2020-03-20,75.0
2020-03-21,76.0
2020-03-22,75.66666666666667
2020-03-23,74.66666666666667
2020-03-24,74.66666666666667
2020-03-25,74.5
2020-03-26,73.5
2020-03-27,73.42857142857143
2020-03-28,72.83333333333333
2020-03-29,73.83333333333333
2020-03-30,75.16666666666667
2020-03-31,74.83333333333333
2020-04-01,75.0
2020-04-02,74.33333333333333
2020-04-03,73.83333333333333
2020-04-04,74.33333333333333
2020-04-05,76.16666666666667
2020-04-06,76.0
2020-04-07,76.0
2020-04-08,75.83333333333333
2020-04-09,75.0
2020-04-10,75.16666666666667
2020-04-11,75.16666666666667
2020-04-12,76.71428571428571
2020-04-13,75.66666666666667
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
