DATE,MEAN_T
2020-01-01,25.666666666666668
2020-01-02,31.6
2020-01-03,38.93333333333333
2020-01-04,32.86666666666667
2020-01-05,27.666666666666668
2020-01-06,33.86666666666667
2020-01-07,29.866666666666667
2020-01-08,28.0
2020-01-09,18.8
2020-01-10,39.8
2020-01-11,25.666666666666668
2020-01-12,19.285714285714285
2020-01-13,20.333333333333332
2020-01-14,29.066666666666666
2020-01-15,26.8
2020-01-16,16.857142857142858
2020-01-17,12.0
2020-01-18,17.866666666666667
2020-01-19,15.8
2020-01-20,
2020-01-21,11.25
2020-01-22,11.666666666666666
2020-01-23,28.4
2020-01-24,31.8
2020-01-25,31.533333333333335
2020-01-26,27.666666666666668
2020-01-27,26.266666666666666
2020-01-28,27.666666666666668
2020-01-29,22.533333333333335
2020-01-30,22.666666666666668
2020-01-31,26.133333333333333
2020-02-01,30.6
2020-02-02,35.13333333333333
2020-02-03,39.666666666666664
2020-02-04,32.06666666666667
2020-02-05,25.333333333333332
2020-02-06,22.6
2020-02-07,21.933333333333334
2020-02-08,23.066666666666666
2020-02-09,18.928571428571427
2020-02-10,27.6
2020-02-11,22.4
2020-02-12,25.733333333333334
2020-02-13,22.466666666666665
2020-02-14,11.0
2020-02-15,16.0
2020-02-16,27.066666666666666
2020-02-17,29.866666666666667
2020-02-18,33.93333333333333
2020-02-19,25.2
2020-02-20,17.5
2020-02-21,14.714285714285714
2020-02-22,25.4
2020-02-23,37.13333333333333
2020-02-24,41.333333333333336
2020-02-25,35.266666666666666
2020-02-26,34.0
2020-02-27,27.066666666666666
2020-02-28,26.8
2020-02-29,25.0
2020-03-01,30.666666666666668
2020-03-02,44.666666666666664
2020-03-03,34.06666666666667
2020-03-04,41.0
2020-03-05,40.13333333333333
2020-03-06,40.8
2020-03-07,35.733333333333334
2020-03-08,46.333333333333336
2020-03-09,56.0
2020-03-10,43.333333333333336
2020-03-11,38.13333333333333
2020-03-12,44.8
2020-03-13,46.46666666666667
2020-03-14,37.666666666666664
2020-03-15,32.2
2020-03-16,31.666666666666668
2020-03-17,37.666666666666664
2020-03-18,37.4
2020-03-19,43.4
2020-03-20,45.86666666666667
2020-03-21,32.0
2020-03-22,32.53333333333333
2020-03-23,34.06666666666667
2020-03-24,39.0
2020-03-25,43.733333333333334
2020-03-26,44.666666666666664
2020-03-27,47.0
2020-03-28,46.53333333333333
2020-03-29,53.4
2020-03-30,45.53333333333333
2020-03-31,46.333333333333336
2020-04-01,45.6
2020-04-02,47.666666666666664
2020-04-03,52.333333333333336
2020-04-04,39.0
2020-04-05,37.6
2020-04-06,45.46666666666667
2020-04-07,52.86666666666667
2020-04-08,64.8
2020-04-09,53.53333333333333
2020-04-10,38.46666666666667
2020-04-11,38.53333333333333
2020-04-12,49.666666666666664
2020-04-13,42.333333333333336
2020-04-14,32.583333333333336
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
