DATE,MEAN_T
2020-01-01,28.25
2020-01-02,35.53846153846154
2020-01-03,32.07692307692308
2020-01-04,33.53846153846154
2020-01-05,30.692307692307693
2020-01-06,25.923076923076923
2020-01-07,29.76923076923077
2020-01-08,36.23076923076923
2020-01-09,33.53846153846154
2020-01-10,26.846153846153847
2020-01-11,24.1
2020-01-12,29.0
2020-01-13,29.0
2020-01-14,26.846153846153847
2020-01-15,25.46153846153846
2020-01-16,19.545454545454547
2020-01-17,29.46153846153846
2020-01-18,28.615384615384617
2020-01-19,25.23076923076923
2020-01-20,24.46153846153846
2020-01-21,26.53846153846154
2020-01-22,34.72727272727273
2020-01-23,33.0
2020-01-24,35.69230769230769
2020-01-25,35.0
2020-01-26,34.76923076923077
2020-01-27,35.76923076923077
2020-01-28,34.0
2020-01-29,33.38461538461539
2020-01-30,32.23076923076923
2020-01-31,30.923076923076923
2020-02-01,33.30769230769231
2020-02-02,37.38461538461539
2020-02-03,33.30769230769231
2020-02-04,22.583333333333332
2020-02-05,24.125
2020-02-06,24.916666666666668
2020-02-07,34.07692307692308
2020-02-08,39.38461538461539
2020-02-09,33.53846153846154
2020-02-10,27.53846153846154
2020-02-11,28.25
2020-02-12,29.181818181818183
2020-02-13,29.53846153846154
2020-02-14,29.384615384615383
2020-02-15,30.384615384615383
2020-02-16,29.76923076923077
2020-02-17,32.61538461538461
2020-02-18,25.692307692307693
2020-02-19,26.7
2020-02-20,28.125
2020-02-21,27.22222222222222
2020-02-22,27.181818181818183
2020-02-23,28.53846153846154
2020-02-24,31.53846153846154
2020-02-25,28.307692307692307
2020-02-26,24.615384615384617
2020-02-27,31.153846153846153
2020-02-28,31.153846153846153
2020-02-29,34.84615384615385
2020-03-01,36.53846153846154
2020-03-02,30.46153846153846
2020-03-03,29.0
2020-03-04,40.30769230769231
2020-03-05,38.92307692307692
2020-03-06,40.38461538461539
2020-03-07,44.69230769230769
2020-03-08,43.46153846153846
2020-03-09,38.76923076923077
2020-03-10,38.84615384615385
2020-03-11,38.92307692307692
2020-03-12,41.84615384615385
2020-03-13,36.69230769230769
2020-03-14,34.46153846153846
2020-03-15,39.53846153846154
2020-03-16,39.53846153846154
2020-03-17,42.15384615384615
2020-03-18,43.84615384615385
2020-03-19,39.76923076923077
2020-03-20,40.23076923076923
2020-03-21,42.76923076923077
2020-03-22,42.53846153846154
2020-03-23,42.15384615384615
2020-03-24,42.30769230769231
2020-03-25,40.76923076923077
2020-03-26,35.69230769230769
2020-03-27,32.69230769230769
2020-03-28,33.46153846153846
2020-03-29,41.0
2020-03-30,41.53846153846154
2020-03-31,43.0
2020-04-01,41.15384615384615
2020-04-02,32.15384615384615
2020-04-03,31.153846153846153
2020-04-04,33.30769230769231
2020-04-05,39.07692307692308
2020-04-06,44.84615384615385
