DATE,MEAN_T
2020-01-01,31.5
2020-01-02,35.375
2020-01-03,43.625
2020-01-04,38.25
2020-01-05,30.0
2020-01-06,36.125
2020-01-07,33.875
2020-01-08,34.375
2020-01-09,27.0
2020-01-10,42.25
2020-01-11,48.25
2020-01-12,36.875
2020-01-13,28.75
2020-01-14,34.75
2020-01-15,37.5
2020-01-16,35.75
2020-01-17,22.375
2020-01-18,25.375
2020-01-19,26.25
2020-01-20,18.666666666666668
2020-01-21,17.875
2020-01-22,20.625
2020-01-23,28.375
2020-01-24,33.375
2020-01-25,35.625
2020-01-26,32.75
2020-01-27,31.625
2020-01-28,30.0
2020-01-29,29.875
2020-01-30,31.0
2020-01-31,32.625
2020-02-01,35.0
2020-02-02,36.375
2020-02-03,45.25
2020-02-04,44.875
2020-02-05,37.75
2020-02-06,30.0
2020-02-07,29.125
2020-02-08,30.5
2020-02-09,29.25
2020-02-10,33.75
2020-02-11,34.625
2020-02-12,32.25
2020-02-13,31.125
2020-02-14,17.875
2020-02-15,17.0
2020-02-16,25.375
2020-02-17,32.125
2020-02-18,37.875
2020-02-19,34.125
2020-02-20,27.375
2020-02-21,20.875
2020-02-22,25.25
2020-02-23,37.0
2020-02-24,45.25
2020-02-25,40.875
2020-02-26,36.625
2020-02-27,31.0
2020-02-28,29.75
2020-02-29,28.125
2020-03-01,28.5
2020-03-02,47.875
2020-03-03,43.75
2020-03-04,42.75
2020-03-05,42.375
2020-03-06,44.375
2020-03-07,36.375
2020-03-08,39.625
2020-03-09,52.125
2020-03-10,52.5
2020-03-11,45.25
2020-03-12,43.875
2020-03-13,48.0
2020-03-14,43.0
2020-03-15,37.875
2020-03-16,37.125
2020-03-17,38.125
2020-03-18,43.875
2020-03-19,45.5
2020-03-20,55.75
2020-03-21,47.25
2020-03-22,33.375
2020-03-23,32.375
2020-03-24,37.75
2020-03-25,41.5
2020-03-26,46.25
2020-03-27,50.625
2020-03-28,53.25
2020-03-29,62.125
2020-03-30,53.875
2020-03-31,49.75
2020-04-01,42.875
2020-04-02,46.375
2020-04-03,51.625
2020-04-04,55.75
2020-04-05,45.0
2020-04-06,48.375
2020-04-07,53.875
2020-04-08,67.5
2020-04-09,63.857142857142854
2020-04-10,45.125
2020-04-11,42.875
2020-04-12,54.0
2020-04-13,54.375
2020-04-14,41.714285714285715
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
