DATE,MEAN_T
2015-01-01,17.125
2015-01-02,25.875
2015-01-03,30.5
2015-01-04,39.75
2015-01-05,29.125
2015-01-06,13.2
2015-01-07,14.75
2015-01-08,15.0
2015-01-09,12.5
2015-01-10,12.75
2015-01-11,12.4
2015-01-12,28.375
2015-01-13,24.5
2015-01-14,16.2
2015-01-15,18.333333333333332
2015-01-16,21.625
2015-01-17,30.125
2015-01-18,36.75
2015-01-19,36.0
2015-01-20,34.875
2015-01-21,38.625
2015-01-22,36.125
2015-01-23,31.875
2015-01-24,30.75
2015-01-25,33.25
2015-01-26,30.5
2015-01-27,20.875
2015-01-28,23.875
2015-01-29,24.375
2015-01-30,37.5
2015-01-31,26.875
2015-02-01,28.375
2015-02-02,30.5
2015-02-03,18.625
2015-02-04,22.25
2015-02-05,27.5
2015-02-06,15.4
2015-02-07,21.875
2015-02-08,37.5
2015-02-09,43.0
2015-02-10,28.0
2015-02-11,24.375
2015-02-12,30.625
2015-02-13,21.75
2015-02-14,18.25
2015-02-15,19.0
2015-02-16,12.5
2015-02-17,12.5
2015-02-18,13.142857142857142
2015-02-19,13.0
2015-02-20,
2015-02-21,13.0
2015-02-22,24.25
2015-02-23,20.625
2015-02-24,16.0
2015-02-25,14.0
2015-02-26,21.625
2015-02-27,15.142857142857142
2015-02-28,19.0
2015-03-01,16.75
2015-03-02,24.375
2015-03-03,21.5
2015-03-04,33.25
2015-03-05,27.125
2015-03-06,13.25
2015-03-07,13.375
2015-03-08,32.5
2015-03-09,35.5
2015-03-10,38.375
2015-03-11,43.375
2015-03-12,45.125
2015-03-13,42.375
2015-03-14,45.125
2015-03-15,47.75
2015-03-16,45.75
2015-03-17,59.375
2015-03-18,43.375
2015-03-19,37.375
2015-03-20,42.375
2015-03-21,41.375
2015-03-22,46.25
2015-03-23,40.125
2015-03-24,33.625
2015-03-25,33.25
2015-03-26,46.375
2015-03-27,39.375
2015-03-28,28.5
2015-03-29,27.875
2015-03-30,36.5
2015-03-31,48.125
2015-04-01,48.625
2015-04-02,52.375
2015-04-03,58.375
2015-04-04,48.125
2015-04-05,42.0
2015-04-06,51.5
2015-04-07,53.125
2015-04-08,55.5
2015-04-09,59.125
2015-04-10,66.0
2015-04-11,56.25
2015-04-12,48.75
2015-04-13,55.25
2015-04-14,60.875
2015-04-15,55.375
2015-04-16,55.875
2015-04-17,58.0
2015-04-18,61.5
2015-04-19,64.75
2015-04-20,59.625
2015-04-21,52.375
2015-04-22,49.5
2015-04-23,41.875
2015-04-24,43.375
2015-04-25,45.625
2015-04-26,48.625
2015-04-27,48.75
2015-04-28,47.125
2015-04-29,49.0
2015-04-30,52.375
2015-05-01,50.75
2015-05-02,54.875
2015-05-03,60.625
2015-05-04,65.5
2015-05-05,66.625
2015-05-06,68.875
2015-05-07,69.625
2015-05-08,72.625
2015-05-09,73.625
2015-05-10,71.0
2015-05-11,71.75
2015-05-12,68.125
2015-05-13,55.125
2015-05-14,54.0
2015-05-15,57.25
2015-05-16,69.875
2015-05-17,69.75
2015-05-18,73.0
2015-05-19,70.5
2015-05-20,53.125
2015-05-21,48.0
2015-05-22,54.75
2015-05-23,59.75
2015-05-24,64.625
2015-05-25,70.25
2015-05-26,74.25
2015-05-27,73.625
2015-05-28,70.25
2015-05-29,69.75
2015-05-30,74.25
2015-05-31,71.75
2015-06-01,58.0
2015-06-02,57.25
2015-06-03,58.25
2015-06-04,60.375
2015-06-05,67.875
2015-06-06,71.375
2015-06-07,69.375
2015-06-08,72.25
2015-06-09,70.625
2015-06-10,69.75
2015-06-11,78.25
2015-06-12,79.0
2015-06-13,77.5
2015-06-14,79.0
2015-06-15,79.25
2015-06-16,78.5
2015-06-17,75.25
2015-06-18,72.5
2015-06-19,77.125
2015-06-20,71.375
2015-06-21,73.75
2015-06-22,75.375
2015-06-23,77.25
2015-06-24,73.25
2015-06-25,69.875
2015-06-26,74.25
2015-06-27,70.75
2015-06-28,65.125
2015-06-29,66.5
2015-06-30,68.5
2015-07-01,70.625
2015-07-02,67.75
2015-07-03,69.125
2015-07-04,69.375
2015-07-05,69.75
2015-07-06,72.25
2015-07-07,73.875
2015-07-08,69.5
2015-07-09,64.375
2015-07-10,68.75
2015-07-11,68.375
2015-07-12,69.125
2015-07-13,75.25
2015-07-14,75.0
2015-07-15,75.75
2015-07-16,75.125
2015-07-17,70.25
2015-07-18,79.625
2015-07-19,80.125
2015-07-20,78.375
2015-07-21,76.0
2015-07-22,72.5
2015-07-23,70.125
2015-07-24,73.0
2015-07-25,74.0
2015-07-26,75.75
2015-07-27,77.125
2015-07-28,78.375
2015-07-29,79.75
2015-07-30,78.875
2015-07-31,74.375
2015-08-01,75.625
2015-08-02,72.5
2015-08-03,76.75
2015-08-04,74.625
2015-08-05,71.125
2015-08-06,71.25
2015-08-07,68.875
2015-08-08,69.25
2015-08-09,72.875
