DATE,MEAN_T
2020-01-01,32.714285714285715
2020-01-02,37.142857142857146
2020-01-03,44.714285714285715
2020-01-04,42.857142857142854
2020-01-05,35.285714285714285
2020-01-06,36.42857142857143
2020-01-07,35.857142857142854
2020-01-08,34.857142857142854
2020-01-09,29.857142857142858
2020-01-10,39.142857142857146
2020-01-11,51.857142857142854
2020-01-12,48.142857142857146
2020-01-13,34.285714285714285
2020-01-14,36.285714285714285
2020-01-15,38.42857142857143
2020-01-16,38.714285714285715
2020-01-17,31.142857142857142
2020-01-18,26.571428571428573
2020-01-19,32.42857142857143
2020-01-20,14.571428571428571
2020-01-21,18.571428571428573
2020-01-22,25.857142857142858
2020-01-23,27.714285714285715
2020-01-24,37.42857142857143
2020-01-25,38.857142857142854
2020-01-26,34.285714285714285
2020-01-27,34.857142857142854
2020-01-28,32.857142857142854
2020-01-29,32.57142857142857
2020-01-30,33.57142857142857
2020-01-31,33.57142857142857
2020-02-01,35.42857142857143
2020-02-02,36.285714285714285
2020-02-03,47.285714285714285
2020-02-04,46.857142857142854
2020-02-05,44.0
2020-02-06,32.0
2020-02-07,28.0
2020-02-08,28.571428571428573
2020-02-09,30.857142857142858
2020-02-10,33.0
2020-02-11,37.42857142857143
2020-02-12,34.0
2020-02-13,31.714285714285715
2020-02-14,24.0
2020-02-15,14.0
2020-02-16,23.857142857142858
2020-02-17,34.285714285714285
2020-02-18,34.857142857142854
2020-02-19,37.142857142857146
2020-02-20,30.285714285714285
2020-02-21,24.285714285714285
2020-02-22,25.142857142857142
2020-02-23,35.714285714285715
2020-02-24,42.857142857142854
2020-02-25,40.57142857142857
2020-02-26,38.142857142857146
2020-02-27,31.428571428571427
2020-02-28,28.0
2020-02-29,25.0
2020-03-01,25.428571428571427
2020-03-02,40.42857142857143
2020-03-03,48.57142857142857
2020-03-04,44.57142857142857
2020-03-05,41.142857142857146
2020-03-06,42.42857142857143
2020-03-07,34.142857142857146
2020-03-08,35.0
2020-03-09,49.0
2020-03-10,56.714285714285715
2020-03-11,46.142857142857146
2020-03-12,41.857142857142854
2020-03-13,49.57142857142857
2020-03-14,46.57142857142857
2020-03-15,38.142857142857146
2020-03-16,39.142857142857146
2020-03-17,39.42857142857143
2020-03-18,42.57142857142857
2020-03-19,42.142857142857146
2020-03-20,55.57142857142857
2020-03-21,50.5
2020-03-22,32.714285714285715
2020-03-23,33.285714285714285
2020-03-24,39.714285714285715
2020-03-25,41.142857142857146
2020-03-26,47.285714285714285
2020-03-27,55.57142857142857
2020-03-28,54.42857142857143
2020-03-29,61.0
2020-03-30,58.42857142857143
2020-03-31,46.714285714285715
2020-04-01,42.142857142857146
2020-04-02,46.0
2020-04-03,47.0
2020-04-04,54.857142857142854
2020-04-05,51.285714285714285
2020-04-06,49.0
2020-04-07,52.285714285714285
2020-04-08,67.28571428571429
2020-04-09,65.0
2020-04-10,44.42857142857143
2020-04-11,41.714285714285715
2020-04-12,49.57142857142857
2020-04-13,56.142857142857146
2020-04-14,45.666666666666664
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
