DATE,MEAN_T
2015-01-01,12.181818181818182
2015-01-02,22.0625
2015-01-03,27.1875
2015-01-04,26.0625
2015-01-05,13.4
2015-01-06,17.4375
2015-01-07,23.3125
2015-01-08,13.181818181818182
2015-01-09,22.0625
2015-01-10,17.75
2015-01-11,26.75
2015-01-12,30.6875
2015-01-13,22.4375
2015-01-14,19.3125
2015-01-15,30.5625
2015-01-16,35.8125
2015-01-17,43.5
2015-01-18,44.375
2015-01-19,43.9375
2015-01-20,47.125
2015-01-21,40.5
2015-01-22,36.5
2015-01-23,31.125
2015-01-24,34.0
2015-01-25,44.9375
2015-01-26,39.9375
2015-01-27,47.6875
2015-01-28,50.375
2015-01-29,54.875
2015-01-30,38.25
2015-01-31,31.375
2015-02-01,36.5
2015-02-02,23.25
2015-02-03,20.1875
2015-02-04,39.375
2015-02-05,24.1875
2015-02-06,24.0
2015-02-07,46.5625
2015-02-08,52.375
2015-02-09,54.9375
2015-02-10,41.9375
2015-02-11,43.375
2015-02-12,34.125
2015-02-13,25.9375
2015-02-14,39.6875
2015-02-15,36.1875
2015-02-16,19.9375
2015-02-17,26.0625
2015-02-18,27.375
2015-02-19,21.125
2015-02-20,24.8125
2015-02-21,30.5625
2015-02-22,38.375
2015-02-23,21.0
2015-02-24,15.75
2015-02-25,30.5625
2015-02-26,37.125
2015-02-27,16.3125
2015-02-28,13.466666666666667
2015-03-01,17.3125
2015-03-02,26.125
2015-03-03,28.5
2015-03-04,36.875
2015-03-05,24.5625
2015-03-06,26.0625
2015-03-07,43.125
2015-03-08,50.625
2015-03-09,50.625
2015-03-10,46.625
2015-03-11,54.4375
2015-03-12,54.5625
2015-03-13,56.8125
2015-03-14,56.125
2015-03-15,50.8125
2015-03-16,53.875
2015-03-17,65.1875
2015-03-18,47.6875
2015-03-19,43.625
2015-03-20,42.5
2015-03-21,50.0
2015-03-22,54.5
2015-03-23,57.1875
2015-03-24,50.375
2015-03-25,51.4375
2015-03-26,47.8125
2015-03-27,43.9375
2015-03-28,43.1875
2015-03-29,52.1875
2015-03-30,55.0
2015-03-31,55.3125
2015-04-01,60.4375
2015-04-02,67.875
2015-04-03,60.625
2015-04-04,44.4375
2015-04-05,46.4375
2015-04-06,55.5
2015-04-07,64.25
2015-04-08,64.375
2015-04-09,60.25
2015-04-10,51.3125
2015-04-11,50.5625
2015-04-12,58.125
2015-04-13,63.75
