DATE,MEAN_T
2020-01-01,39.75
2020-01-02,42.0
2020-01-03,45.5
2020-01-04,50.0
2020-01-05,39.5
2020-01-06,39.5
2020-01-07,39.25
2020-01-08,39.75
2020-01-09,39.5
2020-01-10,46.25
2020-01-11,58.75
2020-01-12,55.75
2020-01-13,41.25
2020-01-14,44.5
2020-01-15,48.5
2020-01-16,52.0
2020-01-17,39.25
2020-01-18,33.75
2020-01-19,44.5
2020-01-20,25.75
2020-01-21,21.5
2020-01-22,25.75
2020-01-23,28.0
2020-01-24,39.25
2020-01-25,42.25
2020-01-26,35.5
2020-01-27,39.5
2020-01-28,38.0
2020-01-29,34.25
2020-01-30,36.5
2020-01-31,38.0
2020-02-01,40.5
2020-02-02,40.25
2020-02-03,49.25
2020-02-04,56.75
2020-02-05,52.25
2020-02-06,40.75
2020-02-07,36.75
2020-02-08,32.5
2020-02-09,33.25
2020-02-10,40.5
2020-02-11,46.25
2020-02-12,40.25
2020-02-13,39.75
2020-02-14,33.25
2020-02-15,22.0
2020-02-16,32.25
2020-02-17,45.25
2020-02-18,46.25
2020-02-19,45.75
2020-02-20,38.25
2020-02-21,31.75
2020-02-22,29.25
2020-02-23,34.5
2020-02-24,42.5
2020-02-25,45.25
2020-02-26,47.0
2020-02-27,37.0
2020-02-28,33.5
2020-02-29,36.75
2020-03-01,33.75
2020-03-02,47.25
2020-03-03,55.5
2020-03-04,51.5
2020-03-05,49.75
2020-03-06,49.25
2020-03-07,41.0
2020-03-08,40.0
2020-03-09,49.5
2020-03-10,55.75
2020-03-11,54.0
2020-03-12,52.0
2020-03-13,55.0
2020-03-14,51.75
2020-03-15,43.0
2020-03-16,40.25
2020-03-17,43.75
2020-03-18,50.0
2020-03-19,54.5
2020-03-20,64.75
2020-03-21,58.25
2020-03-22,41.25
2020-03-23,42.25
2020-03-24,50.25
2020-03-25,48.0
2020-03-26,54.0
2020-03-27,61.25
2020-03-28,69.75
2020-03-29,72.5
2020-03-30,62.0
2020-03-31,54.5
2020-04-01,48.25
2020-04-02,47.25
2020-04-03,51.5
2020-04-04,57.75
2020-04-05,58.25
2020-04-06,58.25
2020-04-07,61.75
2020-04-08,68.0
2020-04-09,71.0
2020-04-10,53.0
2020-04-11,44.5
2020-04-12,50.5
2020-04-13,58.25
2020-04-14,50.25
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
