DATE,MEAN_T
2020-01-01,48.875
2020-01-02,49.333333333333336
2020-01-03,60.44444444444444
2020-01-04,59.77777777777778
2020-01-05,52.44444444444444
2020-01-06,53.55555555555556
2020-01-07,59.44444444444444
2020-01-08,52.77777777777778
2020-01-09,51.0
2020-01-10,61.666666666666664
2020-01-11,70.25
2020-01-12,59.111111111111114
2020-01-13,50.55555555555556
2020-01-14,58.333333333333336
2020-01-15,69.11111111111111
2020-01-16,70.77777777777777
2020-01-17,65.75
2020-01-18,62.333333333333336
2020-01-19,65.33333333333333
2020-01-20,49.888888888888886
2020-01-21,44.77777777777778
2020-01-22,41.77777777777778
2020-01-23,42.333333333333336
2020-01-24,53.888888888888886
2020-01-25,50.77777777777778
2020-01-26,50.333333333333336
2020-01-27,53.44444444444444
2020-01-28,52.888888888888886
2020-01-29,51.44444444444444
2020-01-30,53.0
2020-01-31,51.77777777777778
2020-02-01,50.111111111111114
2020-02-02,51.55555555555556
2020-02-03,57.888888888888886
2020-02-04,61.333333333333336
2020-02-05,67.77777777777777
2020-02-06,60.333333333333336
2020-02-07,44.125
2020-02-08,47.888888888888886
2020-02-09,56.77777777777778
2020-02-10,62.888888888888886
2020-02-11,68.88888888888889
2020-02-12,62.22222222222222
2020-02-13,62.111111111111114
2020-02-14,51.111111111111114
2020-02-15,46.888888888888886
2020-02-16,51.0
2020-02-17,59.888888888888886
2020-02-18,62.44444444444444
2020-02-19,68.22222222222223
2020-02-20,56.666666666666664
2020-02-21,48.888888888888886
2020-02-22,44.0
2020-02-23,46.0
2020-02-24,54.111111111111114
2020-02-25,61.666666666666664
2020-02-26,58.55555555555556
2020-02-27,48.111111111111114
2020-02-28,43.55555555555556
2020-02-29,52.111111111111114
2020-03-01,56.22222222222222
2020-03-02,61.0
2020-03-03,69.11111111111111
2020-03-04,71.88888888888889
2020-03-05,63.888888888888886
2020-03-06,61.111111111111114
2020-03-07,57.888888888888886
2020-03-08,52.666666666666664
2020-03-09,57.666666666666664
2020-03-10,65.55555555555556
2020-03-11,71.11111111111111
2020-03-12,71.11111111111111
2020-03-13,72.66666666666667
2020-03-14,71.44444444444444
2020-03-15,72.44444444444444
2020-03-16,70.0
2020-03-17,66.33333333333333
2020-03-18,70.77777777777777
2020-03-19,74.11111111111111
2020-03-20,77.33333333333333
2020-03-21,70.66666666666667
2020-03-22,62.375
2020-03-23,66.0
2020-03-24,73.44444444444444
2020-03-25,75.11111111111111
2020-03-26,75.22222222222223
2020-03-27,76.11111111111111
2020-03-28,78.375
2020-03-29,73.875
2020-03-30,68.5
2020-03-31,69.375
2020-04-01,63.0
2020-04-02,61.111111111111114
2020-04-03,65.22222222222223
2020-04-04,69.125
2020-04-05,67.5
2020-04-06,68.625
2020-04-07,72.22222222222223
2020-04-08,77.0
2020-04-09,79.11111111111111
2020-04-10,75.22222222222223
2020-04-11,63.888888888888886
2020-04-12,65.44444444444444
2020-04-13,72.75
2020-04-14,56.5
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
