DATE,MEAN_T
2015-01-01,30.0
2015-01-02,33.0
2015-01-03,38.5
2015-01-04,37.0
2015-01-05,52.0
2015-01-06,37.25
2015-01-07,24.75
2015-01-08,20.0
2015-01-09,15.75
2015-01-10,29.75
2015-01-11,18.75
2015-01-12,27.0
2015-01-13,38.75
2015-01-14,32.25
2015-01-15,28.25
2015-01-16,33.5
2015-01-17,36.25
2015-01-18,29.25
2015-01-19,37.75
2015-01-20,39.0
2015-01-21,37.75
2015-01-22,33.0
2015-01-23,37.75
2015-01-24,34.5
2015-01-25,37.75
2015-01-26,41.75
2015-01-27,34.5
2015-01-28,30.5
2015-01-29,28.25
2015-01-30,27.5
2015-01-31,31.25
2015-02-01,24.5
2015-02-02,31.0
2015-02-03,36.0
2015-02-04,26.75
2015-02-05,35.75
2015-02-06,30.75
2015-02-07,25.25
2015-02-08,36.25
2015-02-09,42.75
2015-02-10,36.75
2015-02-11,34.0
2015-02-12,33.75
2015-02-13,29.25
2015-02-14,19.75
2015-02-15,26.0
2015-02-16,13.25
2015-02-17,14.0
2015-02-18,20.5
2015-02-19,21.75
2015-02-20,13.75
2015-02-21,10.333333333333334
2015-02-22,19.75
2015-02-23,38.25
2015-02-24,25.5
2015-02-25,17.75
2015-02-26,28.25
2015-02-27,30.0
2015-02-28,25.75
2015-03-01,23.25
2015-03-02,25.333333333333332
2015-03-03,34.0
2015-03-04,31.333333333333332
2015-03-05,42.25
2015-03-06,31.0
2015-03-07,19.0
2015-03-08,28.5
2015-03-09,43.75
2015-03-10,47.5
2015-03-11,44.0
2015-03-12,54.5
2015-03-13,46.75
2015-03-14,40.75
2015-03-15,48.25
2015-03-16,46.0
2015-03-17,48.0
2015-03-18,53.75
2015-03-19,39.5
2015-03-20,40.75
2015-03-21,37.5
2015-03-22,46.75
2015-03-23,45.0
2015-03-24,38.5
2015-03-25,37.5
2015-03-26,39.75
2015-03-27,56.5
2015-03-28,45.0
2015-03-29,33.25
2015-03-30,34.5
2015-03-31,49.0
2015-04-01,51.75
2015-04-02,45.75
2015-04-03,53.25
2015-04-04,64.5
2015-04-05,54.0
2015-04-06,51.0
2015-04-07,58.5
2015-04-08,59.75
2015-04-09,46.0
2015-04-10,44.0
2015-04-11,54.5
2015-04-12,54.5
2015-04-13,51.25
2015-04-14,61.0
2015-04-15,58.5
2015-04-16,56.25
2015-04-17,58.75
2015-04-18,65.5
2015-04-19,68.0
2015-04-20,59.5
