DATE,MEAN_T
2015-01-01,16.333333333333332
2015-01-02,17.625
2015-01-03,20.166666666666668
2015-01-04,15.333333333333334
2015-01-05,18.5
2015-01-06,17.142857142857142
2015-01-07,10.0
2015-01-08,13.0
2015-01-09,
2015-01-10,15.0
2015-01-11,13.333333333333334
2015-01-12,12.4
2015-01-13,20.5
2015-01-14,12.666666666666666
2015-01-15,
2015-01-16,18.5
2015-01-17,16.0
2015-01-18,
2015-01-19,24.625
2015-01-20,37.625
2015-01-21,18.5
2015-01-22,15.833333333333334
2015-01-23,19.0
2015-01-24,18.375
2015-01-25,25.25
2015-01-26,18.0
2015-01-27,12.0
2015-01-28,12.0
2015-01-29,13.0
2015-01-30,13.2
2015-01-31,19.875
2015-02-01,13.666666666666666
2015-02-02,13.0
2015-02-03,
2015-02-04,10.0
2015-02-05,16.0
2015-02-06,14.0
2015-02-07,
2015-02-08,16.5
2015-02-09,16.0
2015-02-10,13.0
2015-02-11,15.0
2015-02-12,12.0
2015-02-13,12.0
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,
2015-02-18,11.0
2015-02-19,13.5
2015-02-20,14.428571428571429
2015-02-21,11.4
2015-02-22,13.666666666666666
2015-02-23,21.0
2015-02-24,14.0
2015-02-25,
2015-02-26,16.625
2015-02-27,14.5
2015-02-28,13.333333333333334
2015-03-01,11.5
2015-03-02,14.5
2015-03-03,20.125
2015-03-04,15.571428571428571
2015-03-05,30.25
2015-03-06,19.2
2015-03-07,12.0
2015-03-08,18.125
2015-03-09,19.125
2015-03-10,22.5
2015-03-11,28.75
2015-03-12,38.125
2015-03-13,22.375
2015-03-14,17.75
2015-03-15,22.25
2015-03-16,23.75
2015-03-17,25.125
2015-03-18,23.25
2015-03-19,16.5
2015-03-20,17.0
2015-03-21,21.25
2015-03-22,29.375
2015-03-23,19.375
2015-03-24,15.571428571428571
2015-03-25,22.75
2015-03-26,28.5
2015-03-27,40.0
2015-03-28,35.625
2015-03-29,28.25
2015-03-30,27.125
2015-03-31,30.75
2015-04-01,31.5
2015-04-02,24.625
2015-04-03,28.75
2015-04-04,46.125
2015-04-05,30.625
2015-04-06,20.875
2015-04-07,21.125
2015-04-08,32.25
2015-04-09,28.875
2015-04-10,32.5
2015-04-11,35.0
2015-04-12,39.0
2015-04-13,45.375
2015-04-14,49.0
2015-04-15,49.625
2015-04-16,41.875
2015-04-17,41.375
2015-04-18,50.875
2015-04-19,43.25
2015-04-20,42.375
2015-04-21,39.625
2015-04-22,43.25
2015-04-23,45.5
2015-04-24,42.375
2015-04-25,38.75
2015-04-26,40.125
2015-04-27,42.875
2015-04-28,45.5
2015-04-29,45.75
2015-04-30,47.0
2015-05-01,46.5
2015-05-02,47.125
2015-05-03,49.75
2015-05-04,52.875
2015-05-05,61.75
2015-05-06,58.25
2015-05-07,54.25
2015-05-08,59.625
2015-05-09,49.125
2015-05-10,50.375
2015-05-11,62.5
2015-05-12,52.714285714285715
2015-05-13,58.285714285714285
2015-05-14,49.25
2015-05-15,52.125
2015-05-16,56.625
2015-05-17,58.125
2015-05-18,57.25
2015-05-19,56.875
2015-05-20,54.625
2015-05-21,52.25
2015-05-22,53.5
2015-05-23,50.25
2015-05-24,45.5
2015-05-25,58.875
