DATE,MEAN_T
2020-01-01,17.333333333333332
2020-01-02,21.9
2020-01-03,31.5
2020-01-04,27.1
2020-01-05,24.9
2020-01-06,29.7
2020-01-07,26.8
2020-01-08,17.22222222222222
2020-01-09,12.0
2020-01-10,25.8
2020-01-11,19.2
2020-01-12,14.0
2020-01-13,15.0
2020-01-14,21.666666666666668
2020-01-15,21.11111111111111
2020-01-16,13.6
2020-01-17,
2020-01-18,12.6
2020-01-19,15.11111111111111
2020-01-20,14.0
2020-01-21,12.0
2020-01-22,13.6
2020-01-23,26.555555555555557
2020-01-24,29.555555555555557
2020-01-25,28.88888888888889
2020-01-26,29.0
2020-01-27,25.75
2020-01-28,21.25
2020-01-29,17.125
2020-01-30,20.375
2020-01-31,22.77777777777778
2020-02-01,28.444444444444443
2020-02-02,31.8
2020-02-03,35.9
2020-02-04,24.77777777777778
2020-02-05,16.4
2020-02-06,17.0
2020-02-07,18.77777777777778
2020-02-08,17.166666666666668
2020-02-09,11.0
2020-02-10,15.5
2020-02-11,15.75
2020-02-12,21.88888888888889
2020-02-13,16.4
2020-02-14,
2020-02-15,
2020-02-16,22.11111111111111
2020-02-17,22.0
2020-02-18,23.6
2020-02-19,14.5
2020-02-20,
2020-02-21,14.0
2020-02-22,22.8
2020-02-23,28.2
2020-02-24,32.9
2020-02-25,29.6
2020-02-26,27.1
2020-02-27,19.77777777777778
2020-02-28,16.77777777777778
2020-02-29,18.0
2020-03-01,22.1
2020-03-02,35.9
2020-03-03,31.1
2020-03-04,33.3
2020-03-05,29.7
2020-03-06,32.1
2020-03-07,24.9
2020-03-08,39.5
2020-03-09,45.9
2020-03-10,32.8
2020-03-11,28.6
2020-03-12,33.9
2020-03-13,37.6
2020-03-14,29.3
2020-03-15,25.8
2020-03-16,27.2
2020-03-17,30.8
2020-03-18,32.5
2020-03-19,35.4
2020-03-20,33.8
2020-03-21,25.666666666666668
2020-03-22,23.3
2020-03-23,34.0
2020-03-24,36.3
2020-03-25,39.1
2020-03-26,39.0
2020-03-27,36.9
2020-03-28,41.6
2020-03-29,40.7
2020-03-30,41.9
2020-03-31,42.2
2020-04-01,40.2
2020-04-02,41.3
2020-04-03,47.3
2020-04-04,32.9
2020-04-05,30.0
2020-04-06,40.1
2020-04-07,46.7
2020-04-08,53.8
2020-04-09,43.4
2020-04-10,34.5
2020-04-11,36.6
2020-04-12,44.4
2020-04-13,34.7
2020-04-14,26.833333333333332
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
