DATE,MEAN_T
2020-01-01,37.11764705882353
2020-01-02,41.76470588235294
2020-01-03,46.411764705882355
2020-01-04,41.35294117647059
2020-01-05,35.705882352941174
2020-01-06,42.0
2020-01-07,36.94117647058823
2020-01-08,40.11764705882353
2020-01-09,40.0
2020-01-10,52.1764705882353
2020-01-11,45.8235294117647
2020-01-12,29.352941176470587
2020-01-13,27.647058823529413
2020-01-14,35.529411764705884
2020-01-15,42.88235294117647
2020-01-16,41.88235294117647
2020-01-17,26.0
2020-01-18,31.647058823529413
2020-01-19,35.94117647058823
2020-01-20,20.5625
2020-01-21,17.066666666666666
2020-01-22,22.294117647058822
2020-01-23,31.529411764705884
2020-01-24,34.875
2020-01-25,34.13333333333333
2020-01-26,31.75
2020-01-27,34.9375
2020-01-28,35.125
2020-01-29,31.529411764705884
2020-01-30,31.176470588235293
2020-01-31,33.470588235294116
2020-02-01,37.294117647058826
2020-02-02,40.588235294117645
2020-02-03,53.1764705882353
2020-02-04,51.88235294117647
2020-02-05,38.411764705882355
2020-02-06,30.11764705882353
2020-02-07,27.941176470588236
2020-02-08,30.764705882352942
2020-02-09,32.411764705882355
2020-02-10,44.23529411764706
2020-02-11,36.529411764705884
2020-02-12,37.11764705882353
2020-02-13,32.470588235294116
2020-02-14,20.53846153846154
2020-02-15,17.571428571428573
2020-02-16,35.0
2020-02-17,40.411764705882355
2020-02-18,47.411764705882355
2020-02-19,38.64705882352941
2020-02-20,34.529411764705884
2020-02-21,26.764705882352942
2020-02-22,28.705882352941178
2020-02-23,39.23529411764706
2020-02-24,49.294117647058826
2020-02-25,44.64705882352941
2020-02-26,38.76470588235294
2020-02-27,32.05882352941177
2020-02-28,34.05882352941177
2020-02-29,39.8235294117647
2020-03-01,41.88235294117647
2020-03-02,55.1764705882353
2020-03-03,48.05882352941177
2020-03-04,49.0
2020-03-05,47.8235294117647
2020-03-06,48.294117647058826
2020-03-07,42.470588235294116
2020-03-08,47.94117647058823
2020-03-09,57.05882352941177
2020-03-10,51.8235294117647
2020-03-11,44.76470588235294
2020-03-12,52.8235294117647
2020-03-13,55.76470588235294
2020-03-14,43.76470588235294
2020-03-15,40.11764705882353
2020-03-16,37.705882352941174
2020-03-17,40.76470588235294
2020-03-18,47.11764705882353
2020-03-19,54.529411764705884
2020-03-20,62.1764705882353
2020-03-21,46.411764705882355
2020-03-22,38.470588235294116
2020-03-23,39.588235294117645
2020-03-24,46.588235294117645
2020-03-25,47.11764705882353
2020-03-26,54.529411764705884
2020-03-27,61.94117647058823
2020-03-28,63.94117647058823
2020-03-29,64.41176470588235
2020-03-30,56.75
2020-03-31,54.0625
2020-04-01,55.35294117647059
2020-04-02,54.9375
2020-04-03,60.05882352941177
2020-04-04,48.470588235294116
2020-04-05,40.529411764705884
2020-04-06,49.23529411764706
2020-04-07,60.470588235294116
2020-04-08,71.29411764705883
2020-04-09,70.3529411764706
2020-04-10,50.4375
2020-04-11,43.5
2020-04-12,56.3125
2020-04-13,50.8125
2020-04-14,38.88235294117647
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
