DATE,MEAN_T
2015-01-01,13.0
2015-01-02,22.625
2015-01-03,24.0
2015-01-04,14.333333333333334
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,10.666666666666666
2015-01-10,
2015-01-11,
2015-01-12,
2015-01-13,
2015-01-14,10.5
2015-01-15,21.5
2015-01-16,28.625
2015-01-17,26.75
2015-01-18,33.875
2015-01-19,27.125
2015-01-20,32.75
2015-01-21,29.75
2015-01-22,19.375
2015-01-23,25.125
2015-01-24,36.25
2015-01-25,33.75
2015-01-26,32.5
2015-01-27,37.625
2015-01-28,38.125
2015-01-29,32.75
2015-01-30,23.625
2015-01-31,28.375
2015-02-01,11.142857142857142
2015-02-02,
2015-02-03,10.333333333333334
2015-02-04,11.0
2015-02-05,
2015-02-06,16.875
2015-02-07,25.75
2015-02-08,32.25
2015-02-09,25.25
2015-02-10,21.625
2015-02-11,22.75
2015-02-12,12.0
2015-02-13,19.666666666666668
2015-02-14,25.142857142857142
2015-02-15,14.0
2015-02-16,19.6
2015-02-17,14.333333333333334
2015-02-18,
2015-02-19,
2015-02-20,21.2
2015-02-21,24.75
2015-02-22,
2015-02-23,
2015-02-24,16.75
2015-02-25,25.75
2015-02-26,13.0
2015-02-27,
2015-02-28,10.0
2015-03-01,12.666666666666666
2015-03-02,12.5
2015-03-03,19.5
2015-03-04,12.25
2015-03-05,
2015-03-06,18.4
2015-03-07,30.0
2015-03-08,35.75
2015-03-09,37.375
2015-03-10,42.375
2015-03-11,42.375
2015-03-12,45.5
2015-03-13,49.125
2015-03-14,43.75
2015-03-15,47.75
2015-03-16,57.875
2015-03-17,35.625
2015-03-18,30.75
2015-03-19,33.875
2015-03-20,39.0
2015-03-21,37.25
2015-03-22,31.125
2015-03-23,33.375
2015-03-24,34.375
2015-03-25,36.75
2015-03-26,31.875
2015-03-27,29.75
2015-03-28,37.0
2015-03-29,47.0
2015-03-30,46.625
2015-03-31,48.75
2015-04-01,50.625
2015-04-02,49.5
2015-04-03,32.75
2015-04-04,31.875
2015-04-05,36.375
2015-04-06,35.125
2015-04-07,33.0
2015-04-08,38.375
2015-04-09,37.0
2015-04-10,45.375
2015-04-11,42.875
2015-04-12,55.25
2015-04-13,47.375
2015-04-14,44.75
2015-04-15,56.125
2015-04-16,58.0
2015-04-17,49.75
2015-04-18,50.0
2015-04-19,51.0
2015-04-20,42.375
2015-04-21,38.25
2015-04-22,35.75
2015-04-23,36.375
2015-04-24,39.125
2015-04-25,48.75
2015-04-26,48.25
2015-04-27,49.125
2015-04-28,47.0
2015-04-29,49.625
2015-04-30,54.625
2015-05-01,58.25
2015-05-02,56.875
2015-05-03,63.125
2015-05-04,52.875
2015-05-05,49.625
2015-05-06,61.5
2015-05-07,59.5
2015-05-08,51.375
2015-05-09,42.625
2015-05-10,41.625
2015-05-11,40.125
2015-05-12,43.625
2015-05-13,47.5
2015-05-14,53.125
2015-05-15,49.625
2015-05-16,51.875
2015-05-17,57.375
2015-05-18,45.625
2015-05-19,40.5
2015-05-20,42.5
2015-05-21,51.125
2015-05-22,56.125
2015-05-23,57.25
2015-05-24,56.875
2015-05-25,59.5
2015-05-26,61.0
2015-05-27,63.5
2015-05-28,65.125
2015-05-29,66.125
2015-05-30,50.0
2015-05-31,46.625
2015-06-01,55.375
2015-06-02,65.875
2015-06-03,66.25
2015-06-04,58.5
2015-06-05,58.0
2015-06-06,65.875
2015-06-07,66.625
2015-06-08,68.25
2015-06-09,70.625
2015-06-10,71.375
2015-06-11,61.75
2015-06-12,65.375
2015-06-13,68.25
2015-06-14,69.0
2015-06-15,63.5
2015-06-16,58.125
2015-06-17,54.5
2015-06-18,63.0
2015-06-19,59.25
2015-06-20,68.75
2015-06-21,67.5
2015-06-22,67.25
2015-06-23,64.375
2015-06-24,67.0
2015-06-25,67.5
2015-06-26,67.375
2015-06-27,68.625
2015-06-28,73.25
2015-06-29,70.25
2015-06-30,72.75
2015-07-01,69.0
2015-07-02,68.75
2015-07-03,69.5
2015-07-04,71.375
2015-07-05,75.75
2015-07-06,69.625
2015-07-07,60.75
2015-07-08,61.875
2015-07-09,65.375
2015-07-10,67.5
2015-07-11,73.125
2015-07-12,77.75
2015-07-13,76.375
2015-07-14,74.25
2015-07-15,73.875
2015-07-16,75.5
2015-07-17,73.125
2015-07-18,66.75
2015-07-19,66.25
2015-07-20,72.125
2015-07-21,66.625
2015-07-22,69.0
2015-07-23,75.75
2015-07-24,76.875
2015-07-25,73.125
2015-07-26,75.75
2015-07-27,76.25
2015-07-28,77.5
2015-07-29,65.625
2015-07-30,69.625
2015-07-31,69.0
2015-08-01,69.375
2015-08-02,73.125
2015-08-03,67.25
2015-08-04,65.75
2015-08-05,67.875
2015-08-06,71.875
2015-08-07,69.75
2015-08-08,70.0
2015-08-09,67.875
2015-08-10,68.875
2015-08-11,69.5
2015-08-12,72.875
2015-08-13,80.75
2015-08-14,80.375
2015-08-15,80.25
2015-08-16,82.875
2015-08-17,62.375
2015-08-18,60.0
2015-08-19,60.625
2015-08-20,60.625
2015-08-21,64.5
2015-08-22,71.5
2015-08-23,61.875
2015-08-24,57.375
2015-08-25,57.875
2015-08-26,62.5
2015-08-27,65.625
2015-08-28,70.25
2015-08-29,72.875
2015-08-30,73.375
2015-08-31,77.25
2015-09-01,68.5
2015-09-02,70.25
2015-09-03,76.625
2015-09-04,79.75
2015-09-05,74.375
2015-09-06,70.25
2015-09-07,61.25
2015-09-08,57.25
2015-09-09,58.25
2015-09-10,60.375
2015-09-11,53.625
2015-09-12,54.25
2015-09-13,62.75
2015-09-14,71.125
2015-09-15,63.75
2015-09-16,70.75
2015-09-17,63.375
2015-09-18,54.875
2015-09-19,53.25
2015-09-20,60.375
2015-09-21,63.0
2015-09-22,67.375
2015-09-23,54.75
2015-09-24,58.5
2015-09-25,64.875
2015-09-26,67.25
2015-09-27,72.875
2015-09-28,65.0
2015-09-29,52.25
2015-09-30,51.75
2015-10-01,62.25
2015-10-02,59.375
2015-10-03,52.875
2015-10-04,49.25
2015-10-05,51.5
2015-10-06,49.25
2015-10-07,47.5
2015-10-08,52.875
2015-10-09,50.625
2015-10-10,51.625
2015-10-11,67.75
2015-10-12,64.625
2015-10-13,49.75
2015-10-14,49.5
2015-10-15,50.875
2015-10-16,41.625
2015-10-17,40.25
2015-10-18,42.25
2015-10-19,54.625
2015-10-20,54.25
2015-10-21,53.625
2015-10-22,47.75
2015-10-23,47.875
2015-10-24,45.5
2015-10-25,45.125
2015-10-26,41.0
2015-10-27,39.625
2015-10-28,44.375
2015-10-29,35.75
2015-10-30,36.125
2015-10-31,44.625
2015-11-01,46.375
2015-11-02,48.125
2015-11-03,45.375
2015-11-04,43.5
2015-11-05,41.5
2015-11-06,37.5
2015-11-07,34.625
2015-11-08,39.625
2015-11-09,44.25
2015-11-10,41.0
2015-11-11,34.0
2015-11-12,33.875
2015-11-13,32.875
2015-11-14,36.0
2015-11-15,46.625
2015-11-16,45.375
2015-11-17,43.5
2015-11-18,34.5
2015-11-19,34.5
2015-11-20,23.25
2015-11-21,18.625
2015-11-22,19.375
2015-11-23,31.875
2015-11-24,31.625
2015-11-25,32.875
2015-11-26,24.125
2015-11-27,12.571428571428571
2015-11-28,14.75
2015-11-29,22.125
2015-11-30,22.0
2015-12-01,26.875
2015-12-02,26.875
2015-12-03,24.375
2015-12-04,30.125
2015-12-05,32.75
2015-12-06,34.625
2015-12-07,33.125
2015-12-08,37.125
2015-12-09,37.375
2015-12-10,43.0
2015-12-11,37.375
2015-12-12,28.125
2015-12-13,26.0
2015-12-14,28.25
2015-12-15,26.125
2015-12-16,24.75
2015-12-17,21.75
2015-12-18,16.0
2015-12-19,
2015-12-20,18.6
2015-12-21,20.125
2015-12-22,22.25
2015-12-23,24.125
2015-12-24,19.875
2015-12-25,17.571428571428573
2015-12-26,15.0
2015-12-27,
2015-12-28,10.0
2015-12-29,10.0
2015-12-30,13.2
2015-12-31,12.8
2016-01-01,15.875
2016-01-02,23.333333333333332
2016-01-03,22.333333333333332
2016-01-04,16.11111111111111
2016-01-05,17.88888888888889
2016-01-06,17.88888888888889
2016-01-07,19.555555555555557
2016-01-08,20.88888888888889
2016-01-09,11.875
2016-01-10,
2016-01-11,
2016-01-12,15.75
2016-01-13,19.0
2016-01-14,22.125
2016-01-15,20.75
2016-01-16,11.75
2016-01-17,
2016-01-18,
2016-01-19,
2016-01-20,17.833333333333332
2016-01-21,16.22222222222222
2016-01-22,14.375
2016-01-23,21.0
2016-01-24,30.22222222222222
2016-01-25,25.444444444444443
2016-01-26,23.22222222222222
2016-01-27,21.22222222222222
2016-01-28,32.111111111111114
2016-01-29,31.333333333333332
2016-01-30,37.22222222222222
2016-01-31,34.111111111111114
2016-02-01,29.444444444444443
2016-02-02,27.666666666666668
2016-02-03,21.555555555555557
2016-02-04,20.555555555555557
2016-02-05,22.88888888888889
2016-02-06,28.666666666666668
2016-02-07,36.666666666666664
2016-02-08,30.555555555555557
2016-02-09,23.11111111111111
2016-02-10,26.5
2016-02-11,22.714285714285715
2016-02-12,22.166666666666668
2016-02-13,13.0
2016-02-14,17.666666666666668
2016-02-15,26.444444444444443
2016-02-16,30.22222222222222
2016-02-17,27.88888888888889
2016-02-18,29.666666666666668
2016-02-19,34.77777777777778
2016-02-20,41.333333333333336
2016-02-21,34.22222222222222
2016-02-22,25.666666666666668
2016-02-23,32.888888888888886
2016-02-24,32.888888888888886
2016-02-25,28.555555555555557
2016-02-26,28.333333333333332
2016-02-27,38.22222222222222
2016-02-28,45.0
2016-02-29,36.666666666666664
2016-03-01,21.0
2016-03-02,20.333333333333332
2016-03-03,29.666666666666668
2016-03-04,28.444444444444443
2016-03-05,34.22222222222222
2016-03-06,40.55555555555556
2016-03-07,50.333333333333336
2016-03-08,43.77777777777778
2016-03-09,35.0
2016-03-10,34.77777777777778
2016-03-11,40.888888888888886
2016-03-12,49.22222222222222
2016-03-13,50.0
2016-03-14,50.333333333333336
2016-03-15,49.333333333333336
2016-03-16,40.55555555555556
2016-03-17,36.22222222222222
2016-03-18,28.666666666666668
2016-03-19,28.11111111111111
2016-03-20,26.555555555555557
2016-03-21,32.333333333333336
2016-03-22,39.666666666666664
2016-03-23,36.22222222222222
2016-03-24,30.555555555555557
2016-03-25,37.111111111111114
2016-03-26,30.444444444444443
2016-03-27,29.0
2016-03-28,40.44444444444444
2016-03-29,43.55555555555556
2016-03-30,47.77777777777778
2016-03-31,43.333333333333336
2016-04-01,38.55555555555556
2016-04-02,34.44444444444444
2016-04-03,40.888888888888886
2016-04-04,41.44444444444444
2016-04-05,38.0
2016-04-06,45.77777777777778
2016-04-07,41.888888888888886
2016-04-08,38.55555555555556
2016-04-09,31.444444444444443
2016-04-10,45.77777777777778
2016-04-11,32.333333333333336
2016-04-12,29.333333333333332
2016-04-13,42.888888888888886
2016-04-14,48.888888888888886
2016-04-15,55.55555555555556
2016-04-16,51.55555555555556
2016-04-17,38.55555555555556
2016-04-18,39.22222222222222
2016-04-19,42.333333333333336
2016-04-20,49.111111111111114
2016-04-21,53.888888888888886
2016-04-22,46.0
2016-04-23,49.44444444444444
2016-04-24,55.55555555555556
2016-04-25,44.55555555555556
2016-04-26,39.666666666666664
2016-04-27,40.0
2016-04-28,44.55555555555556
2016-04-29,46.333333333333336
2016-04-30,47.333333333333336
2016-05-01,48.888888888888886
2016-05-02,48.111111111111114
2016-05-03,54.77777777777778
2016-05-04,57.22222222222222
2016-05-05,58.44444444444444
2016-05-06,69.88888888888889
2016-05-07,60.55555555555556
2016-05-08,54.44444444444444
2016-05-09,57.333333333333336
2016-05-10,58.55555555555556
2016-05-11,52.111111111111114
2016-05-12,49.888888888888886
2016-05-13,46.111111111111114
2016-05-14,40.44444444444444
2016-05-15,45.22222222222222
2016-05-16,50.55555555555556
2016-05-17,51.55555555555556
2016-05-18,52.77777777777778
2016-05-19,59.666666666666664
2016-05-20,63.77777777777778
2016-05-21,64.22222222222223
2016-05-22,64.55555555555556
2016-05-23,68.22222222222223
2016-05-24,64.11111111111111
2016-05-25,61.44444444444444
2016-05-26,58.22222222222222
2016-05-27,59.888888888888886
2016-05-28,59.55555555555556
2016-05-29,61.888888888888886
2016-05-30,62.666666666666664
2016-05-31,61.0
2016-06-01,56.111111111111114
2016-06-02,56.111111111111114
2016-06-03,61.888888888888886
2016-06-04,65.55555555555556
2016-06-05,66.11111111111111
2016-06-06,67.0
2016-06-07,60.0
2016-06-08,61.666666666666664
2016-06-09,67.88888888888889
2016-06-10,75.44444444444444
2016-06-11,75.11111111111111
2016-06-12,69.66666666666667
