DATE,MEAN_T
2020-01-01,26.714285714285715
2020-01-02,31.761904761904763
2020-01-03,34.38095238095238
2020-01-04,31.523809523809526
2020-01-05,34.19047619047619
2020-01-06,35.095238095238095
2020-01-07,33.19047619047619
2020-01-08,35.80952380952381
2020-01-09,31.38095238095238
2020-01-10,36.285714285714285
2020-01-11,18.952380952380953
2020-01-12,16.0
2020-01-13,23.142857142857142
2020-01-14,28.142857142857142
2020-01-15,26.666666666666668
2020-01-16,20.3
2020-01-17,16.9375
2020-01-18,27.333333333333332
2020-01-19,24.761904761904763
2020-01-20,21.0625
2020-01-21,19.307692307692307
2020-01-22,23.0
2020-01-23,36.333333333333336
2020-01-24,32.42857142857143
2020-01-25,28.904761904761905
2020-01-26,31.666666666666668
2020-01-27,37.142857142857146
2020-01-28,31.285714285714285
2020-01-29,31.238095238095237
2020-01-30,32.23809523809524
2020-01-31,34.2
2020-02-01,33.55
2020-02-02,41.1
2020-02-03,49.0
2020-02-04,28.904761904761905
2020-02-05,23.35
2020-02-06,22.0
2020-02-07,27.19047619047619
2020-02-08,26.904761904761905
2020-02-09,32.333333333333336
2020-02-10,29.0
2020-02-11,29.952380952380953
2020-02-12,30.38095238095238
2020-02-13,23.857142857142858
2020-02-14,15.4
2020-02-15,25.571428571428573
2020-02-16,33.904761904761905
2020-02-17,39.38095238095238
2020-02-18,36.285714285714285
2020-02-19,30.571428571428573
2020-02-20,17.944444444444443
2020-02-21,15.7
2020-02-22,34.3
2020-02-23,41.7
2020-02-24,40.666666666666664
2020-02-25,36.857142857142854
2020-02-26,28.095238095238095
2020-02-27,24.61904761904762
2020-02-28,33.0
2020-02-29,39.857142857142854
2020-03-01,44.80952380952381
2020-03-02,42.23809523809524
2020-03-03,37.76190476190476
2020-03-04,44.38095238095238
2020-03-05,46.19047619047619
2020-03-06,40.095238095238095
2020-03-07,41.04761904761905
2020-03-08,53.95238095238095
2020-03-09,56.38095238095238
2020-03-10,40.142857142857146
2020-03-11,40.523809523809526
2020-03-12,49.0
2020-03-13,42.61904761904762
2020-03-14,33.38095238095238
2020-03-15,31.761904761904763
2020-03-16,33.04761904761905
2020-03-17,37.476190476190474
2020-03-18,37.95238095238095
2020-03-19,45.523809523809526
2020-03-20,38.0
2020-03-21,21.571428571428573
2020-03-22,34.666666666666664
2020-03-23,40.76190476190476
2020-03-24,44.76190476190476
2020-03-25,51.476190476190474
2020-03-26,53.0
2020-03-27,44.04761904761905
2020-03-28,44.80952380952381
2020-03-29,43.333333333333336
2020-03-30,47.523809523809526
2020-03-31,49.142857142857146
2020-04-01,54.666666666666664
2020-04-02,54.95238095238095
2020-04-03,35.63157894736842
2020-04-04,27.19047619047619
2020-04-05,38.333333333333336
2020-04-06,45.23809523809524
2020-04-07,60.04761904761905
2020-04-08,61.857142857142854
2020-04-09,51.42857142857143
2020-04-10,40.523809523809526
2020-04-11,44.42857142857143
2020-04-12,53.666666666666664
2020-04-13,31.904761904761905
2020-04-14,29.9
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
