DATE,MEAN_T
2015-01-01,17.0
2015-01-02,20.25
2015-01-03,25.75
2015-01-04,17.75
2015-01-05,33.5
2015-01-06,24.0
2015-01-07,10.0
2015-01-08,10.0
2015-01-09,
2015-01-10,16.75
2015-01-11,12.0
2015-01-12,11.5
2015-01-13,26.5
2015-01-14,12.333333333333334
2015-01-15,
2015-01-16,22.333333333333332
2015-01-17,19.5
2015-01-18,10.5
2015-01-19,29.25
2015-01-20,34.5
2015-01-21,23.5
2015-01-22,21.666666666666668
2015-01-23,25.0
2015-01-24,22.0
2015-01-25,24.25
2015-01-26,19.0
2015-01-27,10.5
2015-01-28,14.25
2015-01-29,12.333333333333334
2015-01-30,11.666666666666666
2015-01-31,21.75
2015-02-01,12.0
2015-02-02,11.666666666666666
2015-02-03,
2015-02-04,
2015-02-05,12.666666666666666
2015-02-06,16.666666666666668
2015-02-07,
2015-02-08,16.75
2015-02-09,15.25
2015-02-10,13.0
2015-02-11,20.25
2015-02-12,12.333333333333334
2015-02-13,12.75
2015-02-14,10.0
2015-02-15,
2015-02-16,
2015-02-17,
2015-02-18,12.0
2015-02-19,14.5
2015-02-20,16.333333333333332
2015-02-21,10.0
2015-02-22,12.0
2015-02-23,26.5
2015-02-24,12.333333333333334
2015-02-25,
2015-02-26,19.0
2015-02-27,16.666666666666668
2015-02-28,12.0
2015-03-01,13.0
2015-03-02,12.5
2015-03-03,20.75
2015-03-04,18.333333333333332
2015-03-05,34.5
2015-03-06,22.666666666666668
2015-03-07,11.5
2015-03-08,19.333333333333332
2015-03-09,23.0
2015-03-10,28.5
2015-03-11,35.0
2015-03-12,40.25
2015-03-13,27.25
2015-03-14,23.25
2015-03-15,31.5
2015-03-16,29.25
2015-03-17,28.25
2015-03-18,32.75
2015-03-19,18.5
2015-03-20,22.0
2015-03-21,19.5
2015-03-22,31.75
2015-03-23,22.5
2015-03-24,17.5
2015-03-25,22.5
2015-03-26,30.25
2015-03-27,42.0
2015-03-28,37.25
2015-03-29,28.5
2015-03-30,25.75
2015-03-31,30.5
2015-04-01,34.0
2015-04-02,29.0
2015-04-03,36.25
2015-04-04,50.75
2015-04-05,36.25
2015-04-06,33.5
2015-04-07,35.5
2015-04-08,36.75
2015-04-09,33.0
2015-04-10,32.75
2015-04-11,40.75
2015-04-12,41.25
2015-04-13,48.0
2015-04-14,50.25
2015-04-15,50.5
2015-04-16,45.5
2015-04-17,45.5
2015-04-18,52.25
2015-04-19,49.75
2015-04-20,47.0
2015-04-21,42.0
2015-04-22,47.0
2015-04-23,46.75
2015-04-24,39.25
2015-04-25,37.75
2015-04-26,41.5
2015-04-27,44.75
2015-04-28,47.75
2015-04-29,50.5
2015-04-30,50.25
2015-05-01,51.5
2015-05-02,47.75
2015-05-03,51.25
2015-05-04,56.75
2015-05-05,62.5
2015-05-06,59.75
2015-05-07,57.5
2015-05-08,61.75
2015-05-09,58.75
2015-05-10,60.5
2015-05-11,72.25
2015-05-12,63.0
2015-05-13,65.5
2015-05-14,48.5
2015-05-15,50.5
2015-05-16,52.0
2015-05-17,59.25
2015-05-18,67.75
2015-05-19,59.5
2015-05-20,63.75
2015-05-21,51.0
2015-05-22,52.25
2015-05-23,56.25
2015-05-24,48.5
2015-05-25,61.25
2015-05-26,65.25
2015-05-27,74.75
2015-05-28,77.0
2015-05-29,73.25
2015-05-30,67.5
2015-05-31,71.0
2015-06-01,58.25
2015-06-02,47.5
2015-06-03,48.75
2015-06-04,54.75
2015-06-05,57.0
2015-06-06,59.75
2015-06-07,57.5
2015-06-08,55.0
2015-06-09,64.0
2015-06-10,69.0
2015-06-11,68.75
2015-06-12,73.0
2015-06-13,69.5
2015-06-14,69.5
2015-06-15,67.0
2015-06-16,58.0
2015-06-17,63.0
2015-06-18,63.5
2015-06-19,64.25
2015-06-20,62.75
2015-06-21,59.0
2015-06-22,69.0
2015-06-23,70.5
2015-06-24,71.25
2015-06-25,67.75
2015-06-26,65.75
2015-06-27,63.5
2015-06-28,60.75
2015-06-29,54.75
2015-06-30,61.5
2015-07-01,67.0
2015-07-02,67.75
2015-07-03,65.25
2015-07-04,62.75
2015-07-05,60.5
2015-07-06,68.25
2015-07-07,69.75
2015-07-08,71.5
2015-07-09,68.75
2015-07-10,65.5
2015-07-11,69.5
2015-07-12,69.5
2015-07-13,74.25
2015-07-14,73.25
2015-07-15,69.5
2015-07-16,65.75
2015-07-17,61.5
2015-07-18,62.5
2015-07-19,69.75
2015-07-20,77.5
2015-07-21,76.0
2015-07-22,73.5
2015-07-23,69.25
2015-07-24,66.75
2015-07-25,65.25
2015-07-26,63.25
2015-07-27,69.0
2015-07-28,73.25
2015-07-29,76.0
2015-07-30,77.0
2015-07-31,76.75
2015-08-01,71.25
2015-08-02,69.75
2015-08-03,69.0
2015-08-04,74.0
2015-08-05,71.0
2015-08-06,67.25
2015-08-07,65.0
2015-08-08,63.25
2015-08-09,65.0
2015-08-10,66.75
2015-08-11,69.5
2015-08-12,68.0
2015-08-13,71.0
2015-08-14,67.0
2015-08-15,67.75
2015-08-16,74.5
2015-08-17,75.0
2015-08-18,75.25
2015-08-19,76.5
2015-08-20,76.66666666666667
2015-08-21,73.0
2015-08-22,71.0
2015-08-23,70.0
2015-08-24,67.25
2015-08-25,74.5
2015-08-26,71.75
2015-08-27,69.25
2015-08-28,65.5
2015-08-29,64.0
2015-08-30,64.25
2015-08-31,69.75
2015-09-01,71.0
2015-09-02,68.75
2015-09-03,70.75
2015-09-04,73.5
2015-09-05,64.25
2015-09-06,64.75
2015-09-07,68.5
2015-09-08,73.0
2015-09-09,77.75
2015-09-10,77.75
2015-09-11,67.25
2015-09-12,63.75
2015-09-13,64.25
2015-09-14,62.25
2015-09-15,61.5
2015-09-16,67.0
2015-09-17,67.5
2015-09-18,70.0
2015-09-19,69.0
2015-09-20,67.25
2015-09-21,56.25
2015-09-22,53.75
2015-09-23,55.75
2015-09-24,58.5
2015-09-25,59.75
2015-09-26,53.5
2015-09-27,50.75
2015-09-28,52.0
2015-09-29,58.5
2015-09-30,70.0
2015-10-01,59.75
2015-10-02,55.0
2015-10-03,49.25
2015-10-04,48.75
2015-10-05,46.5
2015-10-06,46.0
2015-10-07,51.0
2015-10-08,54.25
2015-10-09,49.5
2015-10-10,48.0
2015-10-11,45.25
2015-10-12,52.0
2015-10-13,57.75
2015-10-14,55.0
2015-10-15,52.75
2015-10-16,45.75
2015-10-17,45.25
2015-10-18,41.0
2015-10-19,32.75
2015-10-20,33.0
2015-10-21,50.25
2015-10-22,53.5
2015-10-23,58.5
2015-10-24,39.0
2015-10-25,35.0
2015-10-26,51.0
2015-10-27,39.75
2015-10-28,38.25
2015-10-29,43.0
2015-10-30,60.25
2015-10-31,43.0
2015-11-01,39.25
2015-11-02,48.75
2015-11-03,48.25
2015-11-04,50.75
2015-11-05,50.0
2015-11-06,53.5
2015-11-07,62.25
2015-11-08,51.25
2015-11-09,40.25
2015-11-10,41.75
2015-11-11,41.5
2015-11-12,43.5
2015-11-13,47.5
2015-11-14,48.25
2015-11-15,37.75
2015-11-16,39.75
2015-11-17,41.25
2015-11-18,33.25
2015-11-19,33.5
2015-11-20,43.75
2015-11-21,44.0
2015-11-22,36.25
2015-11-23,37.0
2015-11-24,31.0
2015-11-25,28.0
2015-11-26,30.25
2015-11-27,39.25
2015-11-28,50.0
2015-11-29,42.75
2015-11-30,29.5
2015-12-01,24.75
2015-12-02,25.333333333333332
2015-12-03,38.0
2015-12-04,38.666666666666664
2015-12-05,37.333333333333336
2015-12-06,38.333333333333336
2015-12-07,37.333333333333336
2015-12-08,38.666666666666664
2015-12-09,31.5
2015-12-10,37.0
2015-12-11,43.25
2015-12-12,42.25
2015-12-13,43.25
2015-12-14,42.0
2015-12-15,43.5
2015-12-16,47.0
2015-12-17,35.25
2015-12-18,38.0
2015-12-19,40.0
2015-12-20,32.25
2015-12-21,29.5
2015-12-22,33.75
2015-12-23,41.25
2015-12-24,41.5
2015-12-25,49.25
2015-12-26,45.75
2015-12-27,39.25
2015-12-28,37.0
2015-12-29,26.25
2015-12-30,22.0
2015-12-31,26.5
2016-01-01,36.5
2016-01-02,32.5
2016-01-03,31.0
2016-01-04,33.0
2016-01-05,19.0
2016-01-06,12.5
2016-01-07,24.5
2016-01-08,27.5
2016-01-09,25.5
2016-01-10,33.5
2016-01-11,43.5
2016-01-12,30.5
2016-01-13,22.5
2016-01-14,20.0
2016-01-15,19.5
2016-01-16,23.5
2016-01-17,31.5
2016-01-18,30.0
2016-01-19,19.0
2016-01-20,15.5
2016-01-21,21.0
2016-01-22,20.5
2016-01-23,19.0
2016-01-24,16.0
2016-01-25,23.0
2016-01-26,26.5
2016-01-27,33.5
2016-01-28,33.5
2016-01-29,26.5
2016-01-30,32.0
2016-01-31,32.0
2016-02-01,41.0
2016-02-02,45.0
2016-02-03,36.0
2016-02-04,42.5
2016-02-05,45.0
2016-02-06,27.5
2016-02-07,23.5
2016-02-08,28.5
2016-02-09,24.0
2016-02-10,19.0
2016-02-11,23.0
2016-02-12,14.5
2016-02-13,12.0
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,34.0
2016-02-18,33.5
2016-02-19,24.0
2016-02-20,23.5
2016-02-21,43.0
2016-02-22,40.0
2016-02-23,29.5
2016-02-24,26.0
2016-02-25,31.5
2016-02-26,48.0
2016-02-27,28.0
2016-02-28,24.5
2016-02-29,41.5
2016-03-01,45.5
2016-03-02,34.0
2016-03-03,32.5
2016-03-04,21.0
2016-03-05,21.0
2016-03-06,25.5
2016-03-07,30.5
2016-03-08,32.0
2016-03-09,41.5
2016-03-10,56.0
2016-03-11,54.5
2016-03-12,43.0
2016-03-13,43.5
2016-03-14,49.5
2016-03-15,37.5
2016-03-16,40.0
2016-03-17,48.5
2016-03-18,49.5
2016-03-19,38.5
2016-03-20,31.5
2016-03-21,26.5
2016-03-22,34.0
2016-03-23,37.0
2016-03-24,48.5
2016-03-25,36.0
2016-03-26,37.5
2016-03-27,40.0
2016-03-28,40.5
2016-03-29,36.5
2016-03-30,38.5
2016-03-31,42.0
2016-04-01,56.0
2016-04-02,62.0
2016-04-03,42.0
2016-04-04,27.0
2016-04-05,20.0
2016-04-06,21.5
2016-04-07,26.5
2016-04-08,44.5
2016-04-09,40.5
2016-04-10,36.5
2016-04-11,36.0
2016-04-12,45.0
2016-04-13,43.0
2016-04-14,40.5
2016-04-15,43.5
2016-04-16,44.0
2016-04-17,46.5
2016-04-18,50.0
2016-04-19,54.0
2016-04-20,49.0
2016-04-21,46.5
2016-04-22,53.5
2016-04-23,61.5
2016-04-24,50.5
2016-04-25,44.5
2016-04-26,46.5
2016-04-27,40.0
2016-04-28,43.5
2016-04-29,44.0
2016-04-30,46.5
2016-05-01,48.5
2016-05-02,45.0
2016-05-03,44.0
2016-05-04,47.0
2016-05-05,44.0
2016-05-06,45.0
2016-05-07,55.0
2016-05-08,48.5
2016-05-09,49.5
2016-05-10,49.0
2016-05-11,55.5
2016-05-12,56.5
2016-05-13,59.0
2016-05-14,57.0
2016-05-15,64.0
2016-05-16,49.5
2016-05-17,45.5
2016-05-18,54.0
2016-05-19,53.5
2016-05-20,56.5
2016-05-21,58.5
2016-05-22,59.0
2016-05-23,59.5
2016-05-24,62.5
2016-05-25,57.0
2016-05-26,68.5
2016-05-27,70.0
2016-05-28,70.5
2016-05-29,75.5
2016-05-30,58.5
2016-05-31,65.0
2016-06-01,71.0
2016-06-02,63.5
2016-06-03,60.5
2016-06-04,63.0
2016-06-05,70.5
2016-06-06,60.0
2016-06-07,68.0
2016-06-08,66.0
2016-06-09,61.0
2016-06-10,56.0
2016-06-11,59.0
2016-06-12,54.5
2016-06-13,60.5
2016-06-14,59.5
2016-06-15,63.0
2016-06-16,68.5
2016-06-17,67.0
2016-06-18,65.0
2016-06-19,64.5
2016-06-20,68.0
2016-06-21,73.0
2016-06-22,68.0
2016-06-23,61.5
2016-06-24,63.5
2016-06-25,65.0
2016-06-26,66.5
2016-06-27,69.5
2016-06-28,72.0
2016-06-29,72.0
2016-06-30,70.5
2016-07-01,71.0
2016-07-02,70.0
2016-07-03,65.0
2016-07-04,65.0
2016-07-05,70.0
2016-07-06,74.0
2016-07-07,76.5
2016-07-08,73.0
2016-07-09,66.0
2016-07-10,59.5
2016-07-11,60.5
2016-07-12,68.5
2016-07-13,69.5
2016-07-14,75.0
2016-07-15,77.5
2016-07-16,78.5
2016-07-17,76.0
2016-07-18,75.5
2016-07-19,75.0
2016-07-20,66.5
2016-07-21,66.0
2016-07-22,70.0
2016-07-23,80.0
2016-07-24,76.5
2016-07-25,72.0
2016-07-26,73.0
2016-07-27,76.5
2016-07-28,75.5
2016-07-29,76.5
2016-07-30,74.0
2016-07-31,71.5
2016-08-01,66.5
2016-08-02,67.0
2016-08-03,67.5
2016-08-04,68.0
2016-08-05,70.0
2016-08-06,72.5
2016-08-07,76.5
2016-08-08,70.0
2016-08-09,69.5
2016-08-10,70.0
2016-08-11,69.5
2016-08-12,81.5
2016-08-13,82.0
2016-08-14,72.0
2016-08-15,79.0
2016-08-16,73.0
2016-08-17,70.5
2016-08-18,70.0
2016-08-19,73.0
2016-08-20,73.0
2016-08-21,71.5
2016-08-22,72.5
2016-08-23,64.0
2016-08-24,64.5
2016-08-25,71.5
2016-08-26,74.0
2016-08-27,74.5
2016-08-28,72.5
2016-08-29,71.0
2016-08-30,69.5
2016-08-31,66.0
2016-09-01,70.0
2016-09-02,70.0
2016-09-03,65.0
2016-09-04,63.0
2016-09-05,63.0
2016-09-06,63.0
2016-09-07,67.0
2016-09-08,69.5
2016-09-09,73.5
2016-09-10,76.5
2016-09-11,71.0
2016-09-12,65.5
2016-09-13,60.0
2016-09-14,64.5
2016-09-15,68.0
2016-09-16,58.0
2016-09-17,58.0
2016-09-18,61.0
2016-09-19,70.0
2016-09-20,68.5
2016-09-21,72.5
2016-09-22,68.0
2016-09-23,68.0
2016-09-24,64.0
2016-09-25,54.0
2016-09-26,50.0
2016-09-27,49.5
2016-09-28,60.5
2016-09-29,53.5
2016-09-30,55.0
2016-10-01,51.5
2016-10-02,51.0
2016-10-03,52.5
2016-10-04,60.0
2016-10-05,52.0
2016-10-06,51.5
2016-10-07,56.0
2016-10-08,58.5
2016-10-09,54.0
2016-10-10,53.5
2016-10-11,46.0
2016-10-12,48.5
2016-10-13,53.0
2016-10-14,55.0
2016-10-15,44.5
2016-10-16,43.0
2016-10-17,50.5
2016-10-18,63.5
2016-10-19,57.0
2016-10-20,61.0
2016-10-21,50.5
2016-10-22,60.5
2016-10-23,52.5
2016-10-24,46.5
2016-10-25,47.5
2016-10-26,40.0
2016-10-27,36.5
2016-10-28,35.0
2016-10-29,44.0
2016-10-30,42.0
2016-10-31,48.5
2016-11-01,38.5
2016-11-02,38.0
2016-11-03,51.0
2016-11-04,49.0
2016-11-05,41.0
2016-11-06,39.5
2016-11-07,41.0
2016-11-08,38.5
2016-11-09,46.5
2016-11-10,45.5
2016-11-11,40.0
2016-11-12,45.0
2016-11-13,38.0
2016-11-14,48.5
2016-11-15,47.0
2016-11-16,45.5
2016-11-17,48.5
