DATE,MEAN_T
2015-01-01,25.75
2015-01-02,29.5
2015-01-03,34.5
2015-01-04,32.5
2015-01-05,48.0
2015-01-06,34.25
2015-01-07,16.0
2015-01-08,16.25
2015-01-09,13.0
2015-01-10,24.75
2015-01-11,16.75
2015-01-12,24.0
2015-01-13,35.75
2015-01-14,25.75
2015-01-15,22.5
2015-01-16,29.25
2015-01-17,31.0
2015-01-18,21.75
2015-01-19,31.0
2015-01-20,37.5
2015-01-21,35.0
2015-01-22,27.5
2015-01-23,32.25
2015-01-24,29.0
2015-01-25,34.75
2015-01-26,36.5
2015-01-27,26.25
2015-01-28,24.0
2015-01-29,23.5
2015-01-30,20.25
2015-01-31,28.0
2015-02-01,18.75
2015-02-02,25.25
2015-02-03,26.75
2015-02-04,19.5
2015-02-05,27.0
2015-02-06,25.5
2015-02-07,18.5
2015-02-08,26.25
2015-02-09,38.0
2015-02-10,29.75
2015-02-11,32.5
2015-02-12,27.25
2015-02-13,27.5
2015-02-14,15.0
2015-02-15,18.75
2015-02-16,14.333333333333334
2015-02-17,10.666666666666666
2015-02-18,18.5
2015-02-19,17.25
2015-02-20,14.25
2015-02-21,11.0
2015-02-22,17.666666666666668
2015-02-23,36.25
2015-02-24,20.5
2015-02-25,13.0
2015-02-26,23.0
2015-02-27,22.75
2015-02-28,21.25
2015-03-01,19.25
2015-03-02,20.5
2015-03-03,32.75
2015-03-04,25.0
2015-03-05,39.75
2015-03-06,28.5
2015-03-07,16.5
2015-03-08,22.0
2015-03-09,38.666666666666664
2015-03-10,43.0
2015-03-11,43.666666666666664
2015-03-12,52.666666666666664
2015-03-13,39.75
2015-03-14,34.75
2015-03-15,43.5
2015-03-16,41.0
2015-03-17,41.25
2015-03-18,47.25
2015-03-19,35.666666666666664
2015-03-20,33.0
2015-03-21,32.25
2015-03-22,39.0
2015-03-23,35.75
2015-03-24,31.0
2015-03-25,33.25
2015-03-26,34.0
2015-03-27,50.0
2015-03-28,42.25
2015-03-29,33.5
2015-03-30,35.0
2015-03-31,44.25
2015-04-01,40.5
2015-04-02,41.25
2015-04-03,47.25
2015-04-04,58.75
2015-04-05,50.75
2015-04-06,48.75
2015-04-07,53.5
2015-04-08,52.5
2015-04-09,41.75
2015-04-10,39.75
2015-04-11,49.0
2015-04-12,49.5
2015-04-13,49.75
2015-04-14,56.0
2015-04-15,57.5
2015-04-16,57.5
2015-04-17,54.0
2015-04-18,62.75
2015-04-19,64.5
2015-04-20,54.0
2015-04-21,56.5
2015-04-22,57.25
2015-04-23,56.25
2015-04-24,44.25
2015-04-25,44.5
2015-04-26,45.25
2015-04-27,50.25
2015-04-28,51.75
2015-04-29,58.75
2015-04-30,61.5
2015-05-01,56.25
2015-05-02,52.25
2015-05-03,57.0
2015-05-04,61.5
2015-05-05,67.25
2015-05-06,72.0
2015-05-07,62.5
2015-05-08,64.25
2015-05-09,68.0
2015-05-10,64.25
2015-05-11,73.75
2015-05-12,74.25
2015-05-13,74.5
2015-05-14,60.0
2015-05-15,58.5
2015-05-16,60.75
2015-05-17,68.5
2015-05-18,75.0
2015-05-19,67.5
2015-05-20,70.5
2015-05-21,58.25
2015-05-22,53.75
