DATE,MEAN_T
2020-01-01,37.411764705882355
2020-01-02,34.0
2020-01-03,37.35294117647059
2020-01-04,43.470588235294116
2020-01-05,40.1764705882353
2020-01-06,31.88235294117647
2020-01-07,32.88235294117647
2020-01-08,33.35294117647059
2020-01-09,29.176470588235293
2020-01-10,24.333333333333332
2020-01-11,37.8235294117647
2020-01-12,51.94117647058823
2020-01-13,44.470588235294116
2020-01-14,34.11764705882353
2020-01-15,37.1764705882353
2020-01-16,38.294117647058826
2020-01-17,32.705882352941174
2020-01-18,21.076923076923077
2020-01-19,25.285714285714285
2020-01-20,30.3125
2020-01-21,20.846153846153847
2020-01-22,21.53846153846154
2020-01-23,26.647058823529413
2020-01-24,29.41176470588235
2020-01-25,35.05882352941177
2020-01-26,37.529411764705884
2020-01-27,37.64705882352941
2020-01-28,36.588235294117645
2020-01-29,33.94117647058823
2020-01-30,27.375
2020-01-31,24.1875
2020-02-01,28.11764705882353
2020-02-02,33.05882352941177
2020-02-03,33.529411764705884
2020-02-04,38.64705882352941
2020-02-05,37.88235294117647
2020-02-06,33.588235294117645
2020-02-07,31.176470588235293
2020-02-08,31.41176470588235
2020-02-09,25.692307692307693
2020-02-10,29.384615384615383
2020-02-11,37.294117647058826
2020-02-12,36.64705882352941
2020-02-13,35.8235294117647
2020-02-14,31.352941176470587
2020-02-15,23.90909090909091
2020-02-16,19.5
2020-02-17,34.0
2020-02-18,31.11764705882353
2020-02-19,34.05882352941177
2020-02-20,32.529411764705884
2020-02-21,25.285714285714285
2020-02-22,23.928571428571427
2020-02-23,33.11764705882353
2020-02-24,37.588235294117645
2020-02-25,42.23529411764706
2020-02-26,41.705882352941174
2020-02-27,40.1764705882353
2020-02-28,34.8235294117647
2020-02-29,28.529411764705884
2020-03-01,24.466666666666665
2020-03-02,26.58823529411765
2020-03-03,40.411764705882355
2020-03-04,46.64705882352941
2020-03-05,43.11764705882353
2020-03-06,38.88235294117647
2020-03-07,36.05882352941177
2020-03-08,32.94117647058823
2020-03-09,41.1764705882353
2020-03-10,53.705882352941174
2020-03-11,50.0
2020-03-12,38.88235294117647
2020-03-13,40.705882352941174
2020-03-14,49.705882352941174
2020-03-15,41.588235294117645
2020-03-16,35.588235294117645
2020-03-17,33.8235294117647
2020-03-18,42.05882352941177
2020-03-19,39.23529411764706
2020-03-20,45.0
2020-03-21,53.588235294117645
2020-03-22,36.88235294117647
2020-03-23,31.529411764705884
2020-03-24,35.411764705882355
2020-03-25,39.05882352941177
2020-03-26,39.05882352941177
2020-03-27,45.94117647058823
2020-03-28,46.88235294117647
2020-03-29,41.23529411764706
2020-03-30,48.35294117647059
2020-03-31,44.705882352941174
2020-04-01,42.0
2020-04-02,41.23529411764706
2020-04-03,44.64705882352941
2020-04-04,44.8235294117647
2020-04-05,49.35294117647059
2020-04-06,47.94117647058823
2020-04-07,47.64705882352941
2020-04-08,50.88235294117647
2020-04-09,48.411764705882355
2020-04-10,44.8235294117647
2020-04-11,40.8235294117647
2020-04-12,40.76470588235294
2020-04-13,45.35294117647059
2020-04-14,55.46666666666667
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
