DATE,MEAN_T
2015-01-01,19.6875
2015-01-02,27.5625
2015-01-03,33.0
2015-01-04,35.8125
2015-01-05,24.5625
2015-01-06,29.1875
2015-01-07,35.0625
2015-01-08,20.3125
2015-01-09,25.0625
2015-01-10,26.3125
2015-01-11,29.0
2015-01-12,34.6875
2015-01-13,31.0625
2015-01-14,27.9375
2015-01-15,31.875
2015-01-16,41.3125
2015-01-17,44.375
2015-01-18,48.5
2015-01-19,49.3125
2015-01-20,51.8125
2015-01-21,45.0625
2015-01-22,40.3125
2015-01-23,38.375
2015-01-24,36.5
2015-01-25,45.5
2015-01-26,45.5
2015-01-27,51.0
2015-01-28,55.5
2015-01-29,60.9375
2015-01-30,47.25
2015-01-31,39.1875
2015-02-01,42.625
2015-02-02,33.3125
2015-02-03,26.3125
2015-02-04,41.4375
2015-02-05,37.3125
2015-02-06,29.933333333333334
2015-02-07,45.5625
2015-02-08,55.6875
2015-02-09,57.8125
2015-02-10,52.375
2015-02-11,52.0
2015-02-12,41.6875
2015-02-13,35.1875
2015-02-14,47.6875
2015-02-15,54.25
2015-02-16,34.4375
2015-02-17,29.125
2015-02-18,35.5625
2015-02-19,30.75
2015-02-20,36.75
2015-02-21,43.0625
2015-02-22,46.25
2015-02-23,32.875
2015-02-24,21.0
2015-02-25,30.6875
2015-02-26,40.125
2015-02-27,27.8125
2015-02-28,18.9375
2015-03-01,22.75
2015-03-02,30.625
2015-03-03,32.0625
2015-03-04,46.5
2015-03-05,32.5
2015-03-06,27.875
2015-03-07,40.6875
2015-03-08,49.0
2015-03-09,53.125
2015-03-10,47.875
2015-03-11,54.5625
2015-03-12,56.125
2015-03-13,56.6875
2015-03-14,55.0
2015-03-15,55.8125
2015-03-16,54.625
2015-03-17,63.0625
2015-03-18,57.0625
2015-03-19,52.5625
2015-03-20,50.25
2015-03-21,51.1875
2015-03-22,54.4375
2015-03-23,60.25
2015-03-24,61.5625
2015-03-25,65.4375
2015-03-26,62.625
2015-03-27,50.625
2015-03-28,50.125
2015-03-29,59.8125
2015-03-30,61.0625
2015-03-31,59.1875
2015-04-01,69.1875
2015-04-02,70.4375
2015-04-03,72.875
2015-04-04,55.1875
2015-04-05,49.5625
2015-04-06,54.125
2015-04-07,69.0625
2015-04-08,75.3125
2015-04-09,73.0625
2015-04-10,61.875
2015-04-11,53.75
2015-04-12,60.0
2015-04-13,70.375
2015-04-14,60.0625
2015-04-15,55.9375
2015-04-16,61.5625
2015-04-17,65.625
2015-04-18,65.375
2015-04-19,65.0625
2015-04-20,57.5625
2015-04-21,54.125
2015-04-22,61.6875
2015-04-23,58.9375
2015-04-24,59.875
2015-04-25,66.25
2015-04-26,68.625
2015-04-27,62.375
2015-04-28,54.0625
2015-04-29,56.1875
2015-04-30,59.3125
2015-05-01,62.5625
2015-05-02,64.8125
2015-05-03,68.25
2015-05-04,71.375
2015-05-05,71.4375
2015-05-06,66.25
2015-05-07,69.4375
2015-05-08,69.0625
2015-05-09,66.8125
2015-05-10,67.3125
2015-05-11,66.125
2015-05-12,57.875
2015-05-13,59.5
2015-05-14,59.5625
2015-05-15,71.8125
2015-05-16,72.5625
2015-05-17,71.375
2015-05-18,71.625
2015-05-19,71.4375
2015-05-20,63.75
2015-05-21,58.5625
2015-05-22,57.8125
2015-05-23,57.25
2015-05-24,65.25
2015-05-25,66.625
2015-05-26,67.875
2015-05-27,68.8125
2015-05-28,72.9375
2015-05-29,73.0
2015-05-30,70.5625
2015-05-31,65.5
2015-06-01,65.875
2015-06-02,69.8125
2015-06-03,76.4375
2015-06-04,79.125
2015-06-05,79.625
2015-06-06,79.6875
2015-06-07,80.5
2015-06-08,81.5
2015-06-09,80.0625
2015-06-10,81.25
2015-06-11,83.8125
2015-06-12,84.375
2015-06-13,78.5
2015-06-14,75.625
2015-06-15,78.25
2015-06-16,77.0
2015-06-17,77.0
2015-06-18,75.5625
2015-06-19,76.875
2015-06-20,80.1875
2015-06-21,83.25
2015-06-22,81.4375
2015-06-23,83.375
2015-06-24,82.875
2015-06-25,83.6875
2015-06-26,84.5625
2015-06-27,81.4375
2015-06-28,76.6875
2015-06-29,78.6875
2015-06-30,81.6875
2015-07-01,80.4375
2015-07-02,85.25
2015-07-03,81.9375
2015-07-04,80.4375
2015-07-05,80.5625
2015-07-06,83.5
2015-07-07,82.1875
2015-07-08,71.1875
2015-07-09,70.0625
2015-07-10,76.4375
2015-07-11,80.6875
2015-07-12,83.125
2015-07-13,84.625
2015-07-14,86.4
2015-07-15,85.93333333333334
2015-07-16,85.46666666666667
2015-07-17,84.75
2015-07-18,86.0
2015-07-19,86.75
2015-07-20,86.4375
2015-07-21,85.9375
2015-07-22,78.75
2015-07-23,82.6875
2015-07-24,85.5
2015-07-25,86.875
2015-07-26,85.9375
2015-07-27,85.875
2015-07-28,86.3125
2015-07-29,86.75
2015-07-30,84.625
2015-07-31,83.0625
2015-08-01,81.8125
2015-08-02,81.125
2015-08-03,81.75
2015-08-04,81.1875
2015-08-05,80.25
2015-08-06,84.75
2015-08-07,87.4375
2015-08-08,88.875
2015-08-09,87.8125
2015-08-10,88.6875
2015-08-11,83.5
2015-08-12,82.5
2015-08-13,77.875
2015-08-14,79.5
2015-08-15,79.6875
2015-08-16,80.0625
2015-08-17,79.875
2015-08-18,82.625
2015-08-19,83.6875
2015-08-20,68.125
2015-08-21,68.4375
2015-08-22,77.1875
2015-08-23,80.375
2015-08-24,74.0
2015-08-25,73.75
2015-08-26,75.625
2015-08-27,79.0625
2015-08-28,80.375
2015-08-29,79.0
2015-08-30,78.25
2015-08-31,77.5
2015-09-01,81.1875
2015-09-02,81.6875
2015-09-03,82.0625
2015-09-04,82.125
2015-09-05,82.9375
2015-09-06,84.875
2015-09-07,86.5625
2015-09-08,87.0
2015-09-09,84.0
2015-09-10,78.25
2015-09-11,78.8125
2015-09-12,72.625
2015-09-13,68.4375
2015-09-14,74.1875
2015-09-15,78.3125
2015-09-16,76.875
2015-09-17,81.8125
2015-09-18,84.1875
2015-09-19,79.125
2015-09-20,69.75
2015-09-21,67.625
2015-09-22,75.6875
2015-09-23,79.0
2015-09-24,77.125
2015-09-25,76.625
2015-09-26,75.125
2015-09-27,72.875
2015-09-28,72.1875
2015-09-29,73.625
2015-09-30,73.6875
2015-10-01,70.1875
2015-10-02,66.6875
2015-10-03,61.46666666666667
2015-10-04,58.875
2015-10-05,62.0
2015-10-06,59.375
2015-10-07,66.75
2015-10-08,69.8125
2015-10-09,71.625
2015-10-10,63.25
2015-10-11,64.6875
2015-10-12,75.1875
2015-10-13,68.875
2015-10-14,67.0625
2015-10-15,70.875
2015-10-16,74.0
2015-10-17,61.4375
2015-10-18,61.1875
2015-10-19,62.625
2015-10-20,66.625
2015-10-21,71.25
2015-10-22,70.75
2015-10-23,68.125
2015-10-24,68.4375
2015-10-25,56.6875
2015-10-26,55.9375
2015-10-27,55.5625
2015-10-28,60.875
2015-10-29,58.5
2015-10-30,54.4375
2015-10-31,51.25
2015-11-01,54.5625
2015-11-02,57.25
2015-11-03,58.9375
2015-11-04,65.0
2015-11-05,65.125
2015-11-06,63.75
2015-11-07,53.75
2015-11-08,52.8125
2015-11-09,50.0625
2015-11-10,53.4375
2015-11-11,60.875
2015-11-12,58.0
2015-11-13,49.875
2015-11-14,49.375
2015-11-15,51.8125
2015-11-16,54.375
2015-11-17,60.1875
2015-11-18,55.375
2015-11-19,52.8125
2015-11-20,47.5625
2015-11-21,53.0625
2015-11-22,39.0
2015-11-23,40.625
2015-11-24,47.75
2015-11-25,52.3125
2015-11-26,61.875
2015-11-27,51.5
2015-11-28,34.5
2015-11-29,33.375
2015-11-30,35.8125
2015-12-01,37.25
2015-12-02,39.8125
2015-12-03,41.5
2015-12-04,43.1875
2015-12-05,45.4375
2015-12-06,46.5
2015-12-07,47.1875
2015-12-08,47.5
2015-12-09,51.125
2015-12-10,53.625
2015-12-11,56.0
2015-12-12,56.6875
2015-12-13,60.75
2015-12-14,52.125
2015-12-15,46.4375
2015-12-16,50.1875
2015-12-17,38.6875
2015-12-18,33.875
2015-12-19,34.5
2015-12-20,44.625
2015-12-21,54.1875
2015-12-22,46.4375
2015-12-23,49.6875
2015-12-24,50.8125
2015-12-25,46.375
2015-12-26,45.9375
2015-12-27,47.8125
2015-12-28,34.5
2015-12-29,31.23076923076923
2015-12-30,28.133333333333333
2015-12-31,33.13333333333333
2016-01-01,33.333333333333336
2016-01-02,32.785714285714285
2016-01-03,37.5
2016-01-04,36.25
2016-01-05,32.5
2016-01-06,33.4375
2016-01-07,40.875
2016-01-08,45.9375
2016-01-09,39.375
2016-01-10,29.8
2016-01-11,23.8125
2016-01-12,35.9375
2016-01-13,39.6875
2016-01-14,41.625
2016-01-15,47.8125
2016-01-16,43.375
2016-01-17,33.9375
2016-01-18,28.8
2016-01-19,27.133333333333333
2016-01-20,34.4
2016-01-21,32.06666666666667
