DATE,CT,ME,MA,NH,RI,VT,T_WA
2015-01-01,25.5,16.333333333333332,18.83333333333333,17.0,24.0,14.0,20.20568620467738
2015-01-02,29.5,17.625,22.16666666666667,20.25,27.0,23.83333333333333,23.75605627832858
2015-01-03,35.0,20.166666666666668,31.0,25.75,34.0,23.0,30.37666411946742
2015-01-04,32.0,15.333333333333336,24.66666666666667,17.75,29.0,15.5,24.873163382106682
2015-01-05,42.0,18.5,38.833333333333336,33.5,45.0,36.5,37.60617280640709
2015-01-06,32.0,17.142857142857142,27.33333333333333,24.0,34.0,22.83333333333333,27.51264761348925
2015-01-07,17.0,10.0,11.75,10.0,16.0,10.666666666666666,12.949872824161586
2015-01-08,15.5,13.0,13.333333333333336,10.0,15.0,,13.650464760959686
2015-01-09,12.5,,,,10.0,,11.927328847514449
2015-01-10,24.0,15.0,19.5,16.75,26.0,18.166666666666668,20.329197788966386
2015-01-11,17.0,13.333333333333336,15.333333333333336,12.0,18.0,13.5,15.360435531103283
2015-01-12,22.5,12.4,15.0,11.5,22.0,15.333333333333336,16.75878244055504
2015-01-13,35.0,20.5,31.16666666666667,26.5,37.0,25.0,30.851075404664837
2015-01-14,24.0,12.666666666666664,18.0,12.333333333333336,26.0,,19.054241777613512
2015-01-15,17.5,,16.666666666666668,,21.0,,17.32322112473823
2015-01-16,23.5,18.5,19.0,22.33333333333333,28.0,11.666666666666664,20.674791489040274
2015-01-17,28.5,16.0,21.166666666666668,19.5,29.0,15.833333333333336,22.642210702193267
2015-01-18,19.0,,13.25,10.5,18.0,10.0,14.713996269568488
2015-01-19,32.0,24.625,33.333333333333336,29.25,36.0,28.66666666666667,31.844710387329894
2015-01-20,37.5,37.625,33.666666666666664,34.5,38.0,29.4,35.151946751590074
2015-01-21,32.5,18.5,26.0,23.5,33.0,15.333333333333336,26.704149408684444
2015-01-22,26.0,15.833333333333336,20.83333333333333,21.66666666666667,28.0,12.666666666666664,21.865923023252467
2015-01-23,33.0,19.0,27.83333333333333,25.0,34.0,16.166666666666668,27.964495918048087
2015-01-24,29.0,18.375,24.83333333333333,22.0,30.0,17.166666666666668,25.036156880349157
2015-01-25,34.0,25.25,29.33333333333333,24.25,34.0,23.83333333333333,29.72060156183462
2015-01-26,29.0,18.0,24.0,19.0,30.0,16.166666666666668,24.298473651925
