DATE,AL,GA,T_WA
2015-01-01,43.4225,42.68375,42.917131831352876
2015-01-02,51.2,48.30499999999999,49.21957245585997
2015-01-03,61.8725,53.84375,56.380148481860374
2015-01-04,57.7925,61.50125,60.32960212584777
2015-01-05,41.0675,44.5325,43.437856283400755
2015-01-06,40.76,41.70125,41.40389548391081
2015-01-07,36.545,37.8875,37.463384793785146
2015-01-08,22.415,22.46375,22.448349168489408
2015-01-09,31.8575,32.46125,32.270516625138015
2015-01-10,33.74,34.55375,34.296674581707755
2015-01-11,44.345,38.67875,40.46880049326998
2015-01-12,54.83750000000001,44.61125,47.84187057918414
2015-01-13,47.5925,47.34875,47.42575415755297
2015-01-14,40.2875,40.7225,40.58507719575161
2015-01-15,38.3525,37.85375,38.01131235314686
2015-01-16,40.28,41.2025,40.91106888064565
2015-01-17,45.7025,41.45375,42.79599170011574
2015-01-18,49.61,48.27125,48.69418052686789
2015-01-19,47.735,47.615,47.652909739103
2015-01-20,54.2,51.46625,52.329881243940314
2015-01-21,52.07,51.17,51.454323043272524
2015-01-22,50.7075,47.49125,48.50730998658364
2015-01-23,46.34,46.955,46.7607125870971
2015-01-24,42.1725,45.44375,44.41031471632748
2015-01-25,46.1075,44.15375,44.77096793977079
2015-01-26,45.3275,45.09125,45.16588479885904
2015-01-27,46.715,40.26875,42.30521379743951
2015-01-28,45.6575,39.31625,41.31954277572437
2015-01-29,51.8675,42.6875,45.58759504137982
2015-01-30,48.0425,47.5775,47.72440023902414
2015-01-31,43.57250000000001,39.10625,40.51720310223994
2015-02-01,52.02500000000001,48.88249999999999,49.87526129275992
2015-02-02,43.67,49.25375,47.48976245236334
2015-02-03,35.96,35.585,35.70346793469688
2015-02-04,42.545,40.5875,41.20590261911776
2015-02-05,43.61,46.00625,45.249239897286884
2015-02-06,40.525,36.51875,37.78438243567842
2015-02-07,47.6,43.715,44.94232780345976
2015-02-08,56.30750000000001,51.1775,52.79814134665343
2015-02-09,59.6825,56.35625,57.407060580761396
2015-02-10,44.57,48.68,47.3815914357221
2015-02-11,44.045,45.3975,44.97022564885989
2015-02-12,44.4575,42.61375,43.19621734559304
2015-02-13,35.66000000000001,33.316250000000004,34.056674591855554
2015-02-14,44.6375,41.98625,42.823818298306996
2015-02-15,41.75,38.56625,39.572042765576576
2015-02-16,49.9925,38.66,42.240100986539964
2015-02-17,32.9,38.64125,36.82750591979064
2015-02-18,33.7175,33.43625,33.525100951022665
2015-02-19,27.395,24.005,25.075950129659866
2015-02-20,32.2175,25.7225,27.774364628950103
2015-02-21,52.8125,42.62,45.83995846506142
2015-02-22,56.465,52.47125,53.73293350452186
2015-02-23,41.4125,48.89874999999999,46.53373513033445
2015-02-24,37.1,37.74071428571429,37.53830335728932
2015-02-25,36.74,36.08,36.28850356506653
2015-02-26,38.057857142857145,39.06071428571428,38.743897180353464
2015-02-27,37.4375,40.44125,39.492321843077924
2015-02-28,45.65,42.03125,43.17446556982497
2015-03-01,51.1025,41.81,44.74563542178889
2015-03-02,53.27,54.395,54.03959619590934
2015-03-03,61.46,55.3025,57.24774348772291
2015-03-04,68.4125,62.64125000000001,64.46447151498512
2015-03-05,45.3875,57.74374999999999,53.84023155173753
2015-03-06,34.3325,40.18625,38.33696553938157
2015-03-07,45.5775,43.79,44.3546971553885
2015-03-08,52.11500000000001,50.6225,51.09400238009361
2015-03-09,57.44,57.92375,57.770926364241014
2015-03-10,65.7125,64.49375,64.87877078776489
2015-03-11,65.53999999999999,66.43625,66.15311163607444
2015-03-12,65.41250000000001,63.20375,63.90152613536467
2015-03-13,61.4375,52.4585,55.29509622838229
2015-03-14,62.12,58.0175,59.31353920558396
2015-03-15,64.445,63.78125,63.99093824441349
2015-03-16,64.5725,62.04875,62.84603920051006
2015-03-17,68.81,66.47375,67.21180523316161
2015-03-18,66.458,62.2175,63.557135405552415
2015-03-19,65.94800000000001,54.72875000000001,58.27307367026151
2015-03-20,65.72,57.05375,59.79154397084508
2015-03-21,64.445,62.9525,63.42400238009362
2015-03-22,61.9025,57.785,59.08577792297183
2015-03-23,61.64,58.76750000000001,59.674964379778174
2015-03-24,61.8725,59.36375,60.15630048312219
2015-03-25,65.91499999999999,62.85125000000001,63.81913302647359
2015-03-26,65.6525,66.57875,66.2861342012987
2015-03-27,53.66857142857143,57.62750000000001,56.37681708941429
2015-03-28,45.7775,46.0025,45.931419239181864
2015-03-29,51.99500000000001,43.81625,46.40003565573913
2015-03-30,65.24642857142858,55.7675,58.762030909323926
2015-03-31,65.675,59.17,61.22502377387535
2015-04-01,68.66,66.84714285714286,67.41985070144895
2015-04-02,71.35999999999999,64.565,66.7116389767076
2015-04-03,72.1625,69.4175,70.28468528198123
2015-04-04,62.63,64.41125,63.84852731018978
2015-04-05,59.165,56.225,57.1537886080236
2015-04-06,67.69999999999999,62.99375000000001,64.48052258044595
2015-04-07,71.11,67.72999999999999,68.7977909847346
2015-04-28,66.02,60.08,61.9565320855987
2015-04-29,62.2625,58.295,59.54839074909307
2015-04-30,63.725,62.225,62.69887173878756
2015-05-01,63.33500000000001,60.95,61.70345606467221
2015-05-02,63.455,62.30375,62.667446559519455
2015-05-03,67.13642857142858,65.01500000000001,65.68519003057098
2015-05-04,70.7525,67.14500000000001,68.28466153178407
2015-05-05,70.92500000000003,67.86125,68.82913302647358
2015-05-06,72.02000000000002,68.17785714285714,69.39164575378011
2015-05-07,73.37,68.63374999999999,70.1300000152217
2015-05-08,74.32249999999998,72.60125000000002,73.14501782025872
2015-05-09,74.26749999999998,73.54375000000002,73.772393113965
2015-05-10,77.9,75.82249999999998,76.47881235822075
