DATE,TN,T_WA
2015-01-01,30.2,30.199999999999996
2015-01-02,32.4,32.4
2015-01-03,42.0,42.0
2015-01-04,53.8,53.8
2015-01-05,45.6,45.60000000000001
2015-01-06,29.6,29.6
2015-01-07,33.8,33.8
2015-01-08,19.8,19.800000000000004
2015-01-09,16.6,16.6
2015-01-10,25.8,25.800000000000004
2015-01-11,24.0,24.0
2015-01-12,35.8,35.8
2015-01-13,40.8,40.8
2015-01-14,34.0,34.0
2015-01-15,33.8,33.8
2015-01-16,31.8,31.800000000000004
2015-01-17,38.0,38.0
2015-01-18,43.6,43.60000000000001
2015-01-19,46.4,46.39999999999999
2015-01-20,48.8,48.8
2015-01-21,47.6,47.60000000000001
2015-01-22,44.8,44.8
2015-01-23,39.8,39.8
2015-01-24,37.4,37.4
2015-01-25,38.8,38.8
2015-01-26,43.8,43.8
2015-01-27,38.0,38.0
2015-01-28,37.6,37.6
2015-01-29,38.8,38.8
2015-01-30,47.6,47.60000000000001
2015-01-31,36.6,36.6
2015-02-01,36.6,36.6
2015-02-02,46.0,46.0
2015-02-03,34.2,34.2
2015-02-04,33.2,33.2
2015-02-05,40.4,40.39999999999999
2015-02-06,29.6,29.6
2015-02-07,32.6,32.6
2015-02-08,46.6,46.60000000000001
2015-02-09,53.0,53.0
2015-02-10,47.6,47.60000000000001
2015-02-11,38.4,38.4
2015-02-12,41.0,41.0
2015-02-13,31.0,31.0
2015-02-14,28.6,28.6
2015-02-15,36.4,36.4
2015-02-16,21.2,21.199999999999996
2015-02-17,25.2,25.199999999999996
2015-02-18,21.6,21.6
2015-02-19,21.2,21.199999999999996
2015-02-20,15.666666666666664,15.666666666666666
2015-02-21,22.25,22.25
2015-02-22,37.8,37.8
2015-02-23,36.6,36.6
2015-02-24,26.4,26.4
2015-02-25,26.6,26.6
2015-02-26,27.2,27.199999999999996
2015-02-27,32.0,32.0
2015-02-28,26.4,26.4
2015-03-01,35.4,35.4
2015-03-02,42.6,42.60000000000001
2015-03-03,40.4,40.39999999999999
2015-03-04,49.4,49.39999999999999
2015-03-05,47.4,47.39999999999999
2015-03-06,25.6,25.6
2015-03-07,24.0,24.0
2015-03-08,38.2,38.2
2015-03-09,45.2,45.2
2015-03-10,49.8,49.8
2015-03-11,57.0,57.0
2015-03-12,55.2,55.2
2015-03-13,56.2,56.2
2015-03-14,57.6,57.60000000000001
2015-03-15,56.4,56.39999999999999
2015-03-16,57.4,57.39999999999999
2015-03-17,57.8,57.8
2015-03-18,60.6,60.60000000000001
2015-03-19,49.4,49.39999999999999
2015-03-20,48.4,48.39999999999999
2015-03-21,51.0,51.0
2015-03-22,54.0,54.0
2015-03-23,55.4,55.39999999999999
2015-03-24,57.8,57.8
2015-03-25,59.8,59.8
2015-03-26,67.0,67.0
2015-03-27,55.6,55.60000000000001
2015-03-28,42.0,42.0
2015-03-29,37.4,37.4
2015-03-30,44.2,44.2
2015-03-31,56.8,56.8
2015-04-01,59.4,59.39999999999999
2015-04-02,61.8,61.8
2015-04-03,66.8,66.8
2015-04-04,63.2,63.2
2015-04-05,50.6,50.60000000000001
2015-04-06,50.2,50.2
2015-04-07,60.4,60.39999999999999
2015-04-08,67.8,67.8
