DATE,MEAN_T
2015-01-01,42.125
2015-01-02,43.375
2015-01-03,51.375
2015-01-04,54.5
2015-01-05,62.5
2015-01-06,47.75
2015-01-07,46.25
2015-01-08,36.75
2015-01-09,23.75
2015-01-10,36.625
2015-01-11,36.625
2015-01-12,40.125
2015-01-13,48.285714285714285
2015-01-14,44.5
2015-01-15,38.5
2015-01-16,41.125
2015-01-17,45.875
2015-01-18,45.125
2015-01-19,53.25
2015-01-20,51.0
2015-01-21,54.25
2015-01-22,54.25
2015-01-23,49.375
2015-01-24,50.0
2015-01-25,49.25
2015-01-26,45.0
2015-01-27,48.125
2015-01-28,41.125
2015-01-29,39.5
2015-01-30,41.625
2015-01-31,45.625
2015-02-01,39.875
2015-02-02,49.875
2015-02-03,47.375
2015-02-04,37.5
2015-02-05,42.25
2015-02-06,45.125
2015-02-07,35.875
2015-02-08,45.625
2015-02-09,55.625
2015-02-10,56.75
2015-02-11,49.375
2015-02-12,46.25
2015-02-13,48.125
2015-02-14,34.25
2015-02-15,42.125
2015-02-16,37.375
2015-02-17,37.625
2015-02-18,39.25
2015-02-19,37.25
2015-02-20,25.875
2015-02-21,25.125
2015-02-22,41.75
2015-02-23,54.25
2015-02-24,49.5
2015-02-25,35.25
2015-02-26,36.75
2015-02-27,39.75
2015-02-28,43.375
2015-03-01,42.375
2015-03-02,40.75
2015-03-03,57.0
2015-03-04,51.875
2015-03-05,61.375
2015-03-06,57.75
2015-03-07,40.625
2015-03-08,44.875
2015-03-09,54.25
2015-03-10,59.25
2015-03-11,64.875
2015-03-12,70.125
2015-03-13,63.5
2015-03-14,55.25
2015-03-15,62.375
2015-03-16,65.625
2015-03-17,62.875
2015-03-18,69.25
2015-03-19,60.25
2015-03-20,53.125
2015-03-21,57.875
2015-03-22,61.375
2015-03-23,59.875
2015-03-24,58.375
2015-03-25,59.375
2015-03-26,63.5
2015-03-27,67.5
2015-03-28,56.875
2015-03-29,46.625
2015-03-30,44.0
2015-03-31,55.5
2015-04-01,60.625
2015-04-02,65.625
2015-04-03,62.25
2015-04-04,70.5
2015-04-05,62.625
2015-04-06,56.375
2015-04-07,65.0
2015-04-08,69.625
2015-04-09,73.375
2015-04-10,75.625
2015-04-11,74.0
2015-04-12,68.875
2015-04-13,65.625
2015-04-14,68.875
2015-04-15,74.875
2015-04-16,64.375
2015-04-17,56.625
2015-04-18,65.5
2015-04-19,70.0
2015-04-20,68.875
2015-04-21,69.0
2015-04-22,63.875
2015-04-23,64.625
2015-04-24,67.0
2015-04-25,61.25
2015-04-26,64.125
2015-04-27,68.125
2015-04-28,62.5
2015-04-29,61.125
2015-04-30,59.125
2015-05-01,64.14285714285714
2015-05-02,60.285714285714285
2015-05-03,63.25
2015-05-04,66.125
2015-05-05,68.0
2015-05-06,68.375
2015-05-07,69.625
2015-05-08,68.875
2015-05-09,74.0
2015-05-10,74.75
2015-05-11,75.5
2015-05-12,78.375
2015-05-13,79.0
2015-05-14,74.75
2015-05-15,69.375
2015-05-16,72.25
2015-05-17,72.25
2015-05-18,73.875
2015-05-19,77.5
2015-05-20,78.25
2015-05-21,79.0
2015-05-22,78.25
2015-05-23,68.5
2015-05-24,68.5
2015-05-25,70.75
2015-05-26,73.0
2015-05-27,77.125
2015-05-28,76.375
2015-05-29,75.625
2015-05-30,74.75
2015-05-31,76.25
2015-06-01,77.0
2015-06-02,77.75
2015-06-03,76.625
2015-06-04,72.0
2015-06-05,73.0
2015-06-06,74.5
2015-06-07,78.25
2015-06-08,78.0
2015-06-09,77.375
2015-06-10,78.625
2015-06-11,77.5
2015-06-12,79.125
2015-06-13,81.25
2015-06-14,83.375
2015-06-15,84.75
2015-06-16,85.375
2015-06-17,86.25
2015-06-18,86.75
2015-06-19,85.625
2015-06-20,84.875
2015-06-21,84.625
2015-06-22,86.375
2015-06-23,85.75
2015-06-24,83.625
2015-06-25,85.5
2015-06-26,83.125
2015-06-27,85.5
2015-06-28,82.25
2015-06-29,79.625
2015-06-30,78.375
2015-07-01,81.375
2015-07-02,78.375
2015-07-03,80.0
2015-07-04,78.375
2015-07-05,80.375
2015-07-06,79.875
2015-07-07,79.125
2015-07-08,80.875
2015-07-09,83.0
2015-07-10,84.5
2015-07-11,85.875
2015-07-12,85.75
2015-07-13,83.375
2015-07-14,84.0
2015-07-15,82.125
2015-07-16,84.0
2015-07-17,83.125
2015-07-18,83.625
