DATE,MEAN_T
2015-01-01,16.5
2015-01-02,20.0
2015-01-03,16.666666666666668
2015-01-04,19.75
2015-01-05,22.0
2015-01-06,28.25
2015-01-07,32.75
2015-01-08,34.0
2015-01-09,33.0
2015-01-10,31.75
2015-01-11,32.5
2015-01-12,37.75
2015-01-13,36.0
2015-01-14,34.75
2015-01-15,30.5
2015-01-16,30.25
2015-01-17,32.0
2015-01-18,33.5
2015-01-19,36.25
2015-01-20,34.0
2015-01-21,33.5
2015-01-22,30.25
2015-01-23,26.25
2015-01-24,29.75
2015-01-25,31.25
2015-01-26,37.0
2015-01-27,39.0
2015-01-28,39.5
2015-01-29,40.5
2015-01-30,38.75
2015-01-31,39.25
2015-02-01,38.25
2015-02-02,37.75
2015-02-03,42.75
2015-02-04,44.0
2015-02-05,46.25
2015-02-06,47.5
2015-02-07,48.5
2015-02-08,50.5
2015-02-09,48.25
2015-02-10,48.5
2015-02-11,43.5
2015-02-12,41.5
2015-02-13,43.0
2015-02-14,43.75
2015-02-15,44.75
2015-02-16,42.75
2015-02-17,36.0
2015-02-18,33.75
2015-02-19,39.5
2015-02-20,43.0
2015-02-21,42.0
2015-02-22,36.25
2015-02-23,29.25
2015-02-24,28.25
2015-02-25,34.25
2015-02-26,40.25
2015-02-27,33.5
2015-02-28,33.0
2015-03-01,33.25
2015-03-02,36.75
2015-03-03,34.5
2015-03-04,30.5
2015-03-05,28.25
2015-03-06,32.5
2015-03-07,38.0
2015-03-08,41.75
2015-03-09,44.25
2015-03-10,43.5
2015-03-11,45.75
2015-03-12,46.75
2015-03-13,49.0
2015-03-14,49.25
2015-03-15,50.0
2015-03-16,55.25
2015-03-17,56.0
2015-03-18,55.5
2015-03-19,55.0
2015-03-20,48.5
2015-03-21,48.5
2015-03-22,52.0
2015-03-23,52.5
2015-03-24,50.25
2015-03-25,44.75
2015-03-26,43.75
2015-03-27,46.75
2015-03-28,54.25
2015-03-29,58.25
2015-03-30,53.25
2015-03-31,54.75
2015-04-01,57.5
2015-04-02,49.0
2015-04-03,39.75
2015-04-04,38.0
2015-04-05,45.5
2015-04-06,52.5
2015-04-07,50.75
2015-04-08,49.0
2015-04-09,43.0
