DATE,MEAN_T
2015-01-01,32.8
2015-01-02,36.3
2015-01-03,43.1
2015-01-04,42.3
2015-01-05,55.9
2015-01-06,40.8
2015-01-07,34.4
2015-01-08,24.1
2015-01-09,16.555555555555557
2015-01-10,32.8
2015-01-11,24.7
2015-01-12,28.9
2015-01-13,41.4
2015-01-14,35.9
2015-01-15,31.0
2015-01-16,34.5
2015-01-17,39.2
2015-01-18,35.3
2015-01-19,44.7
2015-01-20,43.1
2015-01-21,43.9
2015-01-22,38.8
2015-01-23,39.9
2015-01-24,35.7
2015-01-25,41.8
2015-01-26,42.4
2015-01-27,39.7
2015-01-28,33.8
2015-01-29,32.9
2015-01-30,31.9
2015-01-31,34.7
2015-02-01,30.3
2015-02-02,36.9
2015-02-03,41.3
2015-02-04,31.4
2015-02-05,39.6
2015-02-06,33.6
2015-02-07,28.0
2015-02-08,39.7
2015-02-09,52.0
2015-02-10,47.6
2015-02-11,37.2
2015-02-12,36.2
2015-02-13,35.3
2015-02-14,23.8
2015-02-15,32.0
2015-02-16,18.333333333333332
2015-02-17,16.8
2015-02-18,24.7
2015-02-19,23.9
2015-02-20,16.875
2015-02-21,13.25
2015-02-22,22.8
2015-02-23,42.9
2015-02-24,31.0
2015-02-25,21.6
2015-02-26,30.6
2015-02-27,32.3
2015-02-28,29.7
2015-03-01,26.2
2015-03-02,28.6
2015-03-03,40.4
2015-03-04,35.2
2015-03-05,49.6
2015-03-06,37.1
2015-03-07,23.7
2015-03-08,34.1
2015-03-09,49.6
2015-03-10,53.1
2015-03-11,51.3
2015-03-12,58.6
2015-03-13,49.8
2015-03-14,44.1
2015-03-15,52.3
2015-03-16,54.8
2015-03-17,56.7
2015-03-18,59.9
2015-03-19,44.0
2015-03-20,43.5
2015-03-21,42.9
2015-03-22,50.9
2015-03-23,52.8
2015-03-24,43.9
2015-03-25,44.1
2015-03-26,47.4
2015-03-27,62.2
2015-03-28,48.8
2015-03-29,35.1
2015-03-30,37.1
2015-03-31,51.7
2015-04-01,54.44444444444444
2015-04-02,49.9
2015-04-03,54.3
2015-04-04,67.8
2015-04-05,54.1
2015-04-06,49.7
2015-04-07,60.5
2015-04-08,65.0
2015-04-09,58.5
2015-04-10,51.2
2015-04-11,63.3
2015-04-12,59.8
2015-04-13,55.2
2015-04-14,62.4
2015-04-15,61.7
2015-04-16,56.9
2015-04-17,57.4
2015-04-18,66.9
2015-04-19,68.2
2015-04-20,62.1
2015-04-21,69.1
2015-04-22,59.7
2015-04-23,59.6
2015-04-24,53.2
2015-04-25,52.2
2015-04-26,47.3
2015-04-27,51.4
2015-04-28,51.8
2015-04-29,56.8
2015-04-30,59.7
2015-05-01,60.0
2015-05-02,55.8
2015-05-03,59.4
2015-05-04,64.5
2015-05-05,67.7
2015-05-06,72.0
2015-05-07,70.6
2015-05-08,68.8
2015-05-09,68.8
2015-05-10,71.0
2015-05-11,74.0
2015-05-12,74.7
2015-05-13,78.5
2015-05-14,65.4
2015-05-15,59.1
2015-05-16,64.4
2015-05-17,73.5
2015-05-18,76.1
2015-05-19,79.5
2015-05-20,78.3
2015-05-21,68.9
2015-05-22,59.0
2015-05-23,63.3
2015-05-24,62.3
2015-05-25,66.5
2015-05-26,71.7
2015-05-27,74.5
2015-05-28,78.2
2015-05-29,77.3
2015-05-30,76.3
2015-05-31,76.8
2015-06-01,77.33333333333333
2015-06-02,78.9
2015-06-03,69.7
2015-06-04,61.8
2015-06-05,63.0
2015-06-06,67.6
2015-06-07,72.7
2015-06-08,70.4
2015-06-09,74.8
2015-06-10,77.0
2015-06-11,74.4
2015-06-12,79.8
2015-06-13,81.8
2015-06-14,83.1
2015-06-15,81.4
2015-06-16,83.6
2015-06-17,85.0
2015-06-18,78.7
2015-06-19,81.2
2015-06-20,80.9
2015-06-21,80.7
2015-06-22,82.33333333333333
2015-06-23,82.7
2015-06-24,84.8
2015-06-25,78.4
2015-06-26,78.3
2015-06-27,75.55555555555556
2015-06-28,75.0
2015-06-29,72.44444444444444
2015-06-30,70.44444444444444
2015-07-01,77.6
2015-07-02,77.0
2015-07-03,74.8
2015-07-04,73.2
2015-07-05,78.2
2015-07-06,76.2
2015-07-07,78.6
2015-07-08,80.2
2015-07-09,81.5
2015-07-10,83.6
2015-07-11,81.5
2015-07-12,76.9
2015-07-13,76.0
2015-07-14,77.0
2015-07-15,79.0
2015-07-16,79.0
2015-07-17,74.4
2015-07-18,75.6
2015-07-19,81.3
2015-07-20,83.1
2015-07-21,84.7
2015-07-22,83.5
2015-07-23,77.9
2015-07-24,76.2
2015-07-25,76.0
2015-07-26,76.3
2015-07-27,78.3
2015-07-28,80.0
2015-07-29,81.3
2015-07-30,81.2
2015-07-31,82.3
2015-08-01,79.1
2015-08-02,79.1
2015-08-03,77.0
2015-08-04,79.2
2015-08-05,83.0
2015-08-06,82.2
2015-08-07,77.2
2015-08-08,74.0
2015-08-09,76.1
2015-08-10,76.4
2015-08-11,74.3
2015-08-12,79.7
2015-08-13,76.2
2015-08-14,73.33333333333333
2015-08-15,74.3
2015-08-16,75.3
2015-08-17,77.3
2015-08-18,79.4
2015-08-19,78.6
2015-08-20,80.7
2015-08-21,80.7
2015-08-22,76.6
2015-08-23,74.5
2015-08-24,74.1
2015-08-25,78.7
2015-08-26,76.2
2015-08-27,73.6
2015-08-28,72.8
2015-08-29,73.0
2015-08-30,74.1
2015-08-31,76.4
2015-09-01,78.0
2015-09-02,79.5
2015-09-03,81.5
2015-09-04,80.4
2015-09-05,80.9
2015-09-06,77.8
2015-09-07,75.9
2015-09-08,77.0
2015-09-09,78.33333333333333
2015-09-10,81.9
2015-09-11,78.4
2015-09-12,75.2
2015-09-13,72.3
2015-09-14,65.3
2015-09-15,64.5
2015-09-16,67.3
2015-09-17,69.4
2015-09-18,70.7
2015-09-19,71.1
2015-09-20,73.9
2015-09-21,73.2
2015-09-22,67.0
2015-09-23,69.2
2015-09-24,69.3
2015-09-25,68.8
2015-09-26,67.8
2015-09-27,66.5
2015-09-28,68.8
2015-09-29,73.8
2015-09-30,75.9
2015-10-01,74.1
2015-10-02,62.3
2015-10-03,57.1
2015-10-04,58.7
2015-10-05,59.7
2015-10-06,61.2
2015-10-07,61.7
2015-10-08,66.0
2015-10-09,66.4
2015-10-10,71.0
2015-10-11,58.9
2015-10-12,59.2
2015-10-13,61.9
2015-10-14,68.5
2015-10-15,62.7
2015-10-16,59.0
2015-10-17,56.2
2015-10-18,51.6
2015-10-19,46.2
2015-10-20,45.2
2015-10-21,54.6
2015-10-22,58.77777777777778
2015-10-23,63.22222222222222
2015-10-24,61.44444444444444
2015-10-25,57.7
2015-10-26,62.6
2015-10-27,53.111111111111114
2015-10-28,53.1
2015-10-29,65.2
2015-10-30,63.8
2015-10-31,52.7
2015-11-01,50.1
2015-11-02,60.4
2015-11-03,58.9
2015-11-04,61.5
2015-11-05,61.8
2015-11-06,68.3
2015-11-07,70.6
2015-11-08,61.9
2015-11-09,49.9
2015-11-10,49.3
2015-11-11,59.4
2015-11-12,56.9
2015-11-13,58.3
2015-11-14,55.8
2015-11-15,46.7
2015-11-16,48.8
2015-11-17,52.3
2015-11-18,53.44444444444444
2015-11-19,59.55555555555556
2015-11-20,62.666666666666664
2015-11-21,49.666666666666664
2015-11-22,45.55555555555556
2015-11-23,43.666666666666664
2015-11-24,36.888888888888886
2015-11-25,42.22222222222222
2015-11-26,44.0
2015-11-27,50.666666666666664
2015-11-28,54.22222222222222
2015-11-29,56.77777777777778
2015-11-30,55.44444444444444
2015-12-01,45.22222222222222
2015-12-02,47.22222222222222
2015-12-03,55.0
2015-12-04,45.44444444444444
2015-12-05,41.666666666666664
2015-12-06,42.77777777777778
2015-12-07,42.22222222222222
2015-12-08,45.666666666666664
2015-12-09,45.4
2015-12-10,45.6
2015-12-11,53.0
2015-12-12,56.0
2015-12-13,61.8
2015-12-14,60.4
2015-12-15,63.4
2015-12-16,57.9
2015-12-17,48.8
2015-12-18,52.6
2015-12-19,45.1
2015-12-20,37.8
2015-12-21,38.3
2015-12-22,47.7
2015-12-23,56.3
2015-12-24,61.6
2015-12-25,68.2
2015-12-26,67.2
2015-12-27,60.2
2015-12-28,65.2
2015-12-29,54.2
2015-12-30,54.9
2015-12-31,54.2
2016-01-01,55.666666666666664
2016-01-02,43.916666666666664
2016-01-03,41.166666666666664
2016-01-04,43.0
2016-01-05,34.333333333333336
2016-01-06,26.833333333333332
2016-01-07,32.916666666666664
2016-01-08,43.083333333333336
2016-01-09,44.583333333333336
2016-01-10,49.583333333333336
2016-01-11,51.916666666666664
2016-01-12,35.0
2016-01-13,38.416666666666664
2016-01-14,30.5
2016-01-15,41.25
2016-01-16,42.583333333333336
2016-01-17,49.25
2016-01-18,37.166666666666664
2016-01-19,26.416666666666668
2016-01-20,22.083333333333332
2016-01-21,26.083333333333332
2016-01-22,31.166666666666668
2016-01-23,29.0
2016-01-24,32.0
2016-01-25,31.583333333333332
2016-01-26,34.25
2016-01-27,45.666666666666664
2016-01-28,41.54545454545455
2016-01-29,36.666666666666664
2016-01-30,39.5
2016-01-31,37.666666666666664
2016-02-01,49.916666666666664
2016-02-02,58.5
2016-02-03,47.5
2016-02-04,55.416666666666664
2016-02-05,51.416666666666664
2016-02-06,38.0
2016-02-07,36.083333333333336
2016-02-08,37.083333333333336
2016-02-09,40.333333333333336
2016-02-10,39.0
2016-02-11,33.083333333333336
2016-02-12,28.25
2016-02-13,26.0
2016-02-14,24.583333333333332
2016-02-15,20.333333333333332
2016-02-16,30.916666666666668
2016-02-17,46.583333333333336
2016-02-18,43.0
2016-02-19,37.5
2016-02-20,36.5
2016-02-21,54.25
2016-02-22,56.583333333333336
2016-02-23,49.54545454545455
2016-02-24,45.833333333333336
2016-02-25,56.0
2016-02-26,51.36363636363637
2016-02-27,39.333333333333336
2016-02-28,37.916666666666664
2016-02-29,49.666666666666664
2016-03-01,56.833333333333336
2016-03-02,52.916666666666664
2016-03-03,47.083333333333336
2016-03-04,35.666666666666664
2016-03-05,39.333333333333336
2016-03-06,39.166666666666664
2016-03-07,43.0
2016-03-08,48.916666666666664
2016-03-09,64.0
2016-03-10,63.916666666666664
2016-03-11,70.08333333333333
2016-03-12,65.33333333333333
2016-03-13,58.833333333333336
2016-03-14,62.0
2016-03-15,57.833333333333336
2016-03-16,59.666666666666664
2016-03-17,66.0
2016-03-18,61.666666666666664
2016-03-19,56.916666666666664
2016-03-20,47.083333333333336
2016-03-21,42.666666666666664
2016-03-22,45.333333333333336
2016-03-23,48.916666666666664
2016-03-24,62.5
2016-03-25,64.83333333333333
2016-03-26,67.08333333333333
2016-03-27,53.333333333333336
2016-03-28,53.666666666666664
2016-03-29,62.583333333333336
2016-03-30,54.333333333333336
2016-03-31,51.0
2016-04-01,64.41666666666667
2016-04-02,72.83333333333333
2016-04-03,59.583333333333336
2016-04-04,50.0
2016-04-05,61.583333333333336
2016-04-06,43.166666666666664
2016-04-07,44.083333333333336
2016-04-08,59.083333333333336
2016-04-09,50.0
2016-04-10,43.666666666666664
2016-04-11,42.666666666666664
2016-04-12,60.083333333333336
2016-04-13,58.75
2016-04-14,50.083333333333336
2016-04-15,49.666666666666664
2016-04-16,50.416666666666664
2016-04-17,52.75
2016-04-18,55.333333333333336
2016-04-19,64.33333333333333
2016-04-20,69.0
2016-04-21,58.75
2016-04-22,61.833333333333336
2016-04-23,68.25
2016-04-24,64.75
2016-04-25,57.416666666666664
2016-04-26,64.5
2016-04-27,74.16666666666667
2016-04-28,66.66666666666667
2016-04-29,59.416666666666664
2016-04-30,58.916666666666664
2016-05-01,57.083333333333336
2016-05-02,63.416666666666664
2016-05-03,73.66666666666667
2016-05-04,68.08333333333333
2016-05-05,60.0
2016-05-06,53.416666666666664
2016-05-07,55.666666666666664
2016-05-08,60.166666666666664
2016-05-09,66.5
2016-05-10,62.916666666666664
2016-05-11,63.916666666666664
2016-05-12,65.91666666666667
2016-05-13,66.08333333333333
2016-05-14,67.5
2016-05-15,66.58333333333333
2016-05-16,56.083333333333336
2016-05-17,55.166666666666664
2016-05-18,58.6
2016-05-19,59.083333333333336
2016-05-20,59.583333333333336
2016-05-21,61.0
2016-05-22,63.5
2016-05-23,59.833333333333336
2016-05-24,62.666666666666664
2016-05-25,68.5
2016-05-26,73.33333333333333
2016-05-27,75.58333333333333
2016-05-28,76.91666666666667
2016-05-29,74.33333333333333
2016-05-30,72.66666666666667
2016-05-31,73.66666666666667
2016-06-01,75.33333333333333
2016-06-02,74.25
2016-06-03,74.75
2016-06-04,75.91666666666667
2016-06-05,76.16666666666667
2016-06-06,78.75
2016-06-07,77.58333333333333
2016-06-08,77.0
2016-06-09,68.75
2016-06-10,68.0
2016-06-11,73.0
2016-06-12,79.41666666666667
2016-06-13,82.5
2016-06-14,72.5
2016-06-15,71.83333333333333
2016-06-16,74.83333333333333
2016-06-17,79.0
2016-06-18,70.83333333333333
2016-06-19,69.66666666666667
2016-06-20,71.0
2016-06-21,75.08333333333333
2016-06-22,79.58333333333333
2016-06-23,78.91666666666667
2016-06-24,77.08333333333333
2016-06-25,77.66666666666667
2016-06-26,74.0
2016-06-27,72.58333333333333
2016-06-28,74.83333333333333
2016-06-29,76.83333333333333
2016-06-30,76.91666666666667
2016-07-01,75.0
2016-07-02,78.66666666666667
2016-07-03,76.83333333333333
2016-07-04,69.41666666666667
2016-07-05,72.16666666666667
2016-07-06,83.16666666666667
2016-07-07,83.33333333333333
2016-07-08,83.08333333333333
2016-07-09,83.33333333333333
2016-07-10,82.0
2016-07-11,78.83333333333333
2016-07-12,77.91666666666667
2016-07-13,79.75
2016-07-14,82.91666666666667
2016-07-15,84.66666666666667
2016-07-16,83.66666666666667
2016-07-17,80.08333333333333
2016-07-18,80.5
2016-07-19,82.91666666666667
2016-07-20,80.75
2016-07-21,79.0
2016-07-22,79.0
2016-07-23,82.66666666666667
2016-07-24,85.41666666666667
2016-07-25,86.75
2016-07-26,87.25
2016-07-27,87.0
2016-07-28,85.33333333333333
2016-07-29,85.58333333333333
2016-07-30,82.41666666666667
2016-07-31,81.5
2016-08-01,82.08333333333333
2016-08-02,81.91666666666667
2016-08-03,80.33333333333333
2016-08-04,77.18181818181819
2016-08-05,77.16666666666667
2016-08-06,77.83333333333333
2016-08-07,83.83333333333333
2016-08-08,79.83333333333333
2016-08-09,75.16666666666667
2016-08-10,77.91666666666667
2016-08-11,82.75
2016-08-12,83.66666666666667
2016-08-13,85.33333333333333
2016-08-14,86.91666666666667
2016-08-15,87.41666666666667
2016-08-16,85.41666666666667
2016-08-17,84.5
2016-08-18,85.0909090909091
2016-08-19,82.0909090909091
2016-08-20,80.45454545454545
2016-08-21,79.9090909090909
2016-08-22,81.0909090909091
2016-08-23,75.63636363636364
2016-08-24,73.81818181818181
2016-08-25,73.81818181818181
2016-08-26,78.81818181818181
2016-08-27,84.45454545454545
2016-08-28,82.63636363636364
2016-08-29,80.0909090909091
2016-08-30,79.33333333333333
2016-08-31,79.83333333333333
2016-09-01,80.16666666666667
2016-09-02,79.66666666666667
2016-09-03,73.08333333333333
2016-09-04,72.91666666666667
2016-09-05,72.25
2016-09-06,72.25
2016-09-07,77.83333333333333
2016-09-08,79.66666666666667
2016-09-09,83.08333333333333
2016-09-10,83.25
2016-09-11,82.33333333333333
2016-09-12,79.16666666666667
2016-09-13,74.16666666666667
2016-09-14,75.25
2016-09-15,79.16666666666667
2016-09-16,73.08333333333333
2016-09-17,72.66666666666667
2016-09-18,74.83333333333333
2016-09-19,77.41666666666667
