DATE,MEAN_T
2020-01-01,20.944444444444443
2020-01-02,24.055555555555557
2020-01-03,37.55555555555556
2020-01-04,32.388888888888886
2020-01-05,27.166666666666668
2020-01-06,31.166666666666668
2020-01-07,31.27777777777778
2020-01-08,25.88888888888889
2020-01-09,15.461538461538462
2020-01-10,32.333333333333336
2020-01-11,30.38888888888889
2020-01-12,22.647058823529413
2020-01-13,19.0
2020-01-14,25.72222222222222
2020-01-15,28.555555555555557
2020-01-16,22.166666666666668
2020-01-17,15.666666666666666
2020-01-18,15.0
2020-01-19,18.77777777777778
2020-01-20,14.23076923076923
2020-01-21,14.333333333333334
2020-01-22,13.928571428571429
2020-01-23,27.055555555555557
2020-01-24,31.055555555555557
2020-01-25,33.5
2020-01-26,33.44444444444444
2020-01-27,30.555555555555557
2020-01-28,29.833333333333332
2020-01-29,25.666666666666668
2020-01-30,24.833333333333332
2020-01-31,26.27777777777778
2020-02-01,29.944444444444443
2020-02-02,34.45454545454545
2020-02-03,37.86363636363637
2020-02-04,31.363636363636363
2020-02-05,23.736842105263158
2020-02-06,19.055555555555557
2020-02-07,20.772727272727273
2020-02-08,21.954545454545453
2020-02-09,20.666666666666668
2020-02-10,20.210526315789473
2020-02-11,15.529411764705882
2020-02-12,20.636363636363637
2020-02-13,22.5
2020-02-14,15.5
2020-02-15,
2020-02-16,20.181818181818183
2020-02-17,20.6
2020-02-18,26.045454545454547
2020-02-19,21.142857142857142
2020-02-20,14.833333333333334
2020-02-21,12.0
2020-02-22,19.444444444444443
2020-02-23,31.333333333333332
2020-02-24,38.166666666666664
2020-02-25,31.0
2020-02-26,30.77777777777778
2020-02-27,25.61111111111111
2020-02-28,19.4375
2020-02-29,17.352941176470587
2020-03-01,20.333333333333332
2020-03-02,39.111111111111114
2020-03-03,34.22222222222222
2020-03-04,34.27777777777778
2020-03-05,33.77777777777778
2020-03-06,35.94444444444444
2020-03-07,29.166666666666668
2020-03-08,35.666666666666664
2020-03-09,50.0
2020-03-10,42.166666666666664
2020-03-11,35.333333333333336
2020-03-12,37.44444444444444
2020-03-13,41.05555555555556
2020-03-14,36.166666666666664
2020-03-15,29.833333333333332
2020-03-16,29.944444444444443
2020-03-17,32.833333333333336
2020-03-18,35.94444444444444
2020-03-19,36.94444444444444
2020-03-20,39.411764705882355
2020-03-21,29.944444444444443
2020-03-22,25.88888888888889
2020-03-23,32.111111111111114
2020-03-24,36.05555555555556
2020-03-25,40.166666666666664
2020-03-26,42.77777777777778
2020-03-27,40.55555555555556
2020-03-28,41.888888888888886
2020-03-29,43.833333333333336
2020-03-30,42.72222222222222
2020-03-31,43.77777777777778
2020-04-01,37.388888888888886
2020-04-02,40.81818181818182
2020-04-03,45.86363636363637
2020-04-04,45.59090909090909
2020-04-05,37.5
2020-04-06,39.63636363636363
2020-04-07,44.04545454545455
2020-04-08,54.36363636363637
2020-04-09,48.59090909090909
2020-04-10,38.666666666666664
2020-04-11,39.5
2020-04-12,44.5
