ST,LAT,LON,StID,TZone
AK,58.667,-156.65,692784-99999,America/Anchorage
AK,64.721,-146.529,694604-99999,America/Anchorage
AK,60.785,-148.839,700001-26492,America/Anchorage
AK,60.783,-148.833,700001-99999,America/Anchorage
AK,66.6,-159.986,700197-26558,America/Anchorage
AK,66.617,-160,700197-99999,America/Anchorage
AK,71.283,-156.782,700260-27502,America/Anchorage
AK,71.317,-155.217,700264-99999,America/Anchorage
AK,71.333,-156.633,700265-99999,America/Anchorage
AK,71.333,-156.65,700271-27506,America/Anchorage
AK,70.639,-159.995,700300-27503,America/Anchorage
AK,70.617,-159.85,700300-27508,America/Anchorage
AK,70.617,-159.85,700300-99999,America/Anchorage
AK,69.367,-148.7,700365-99999,America/Anchorage
AK,70.917,-153.25,700450-27512,America/Anchorage
AK,70.917,-153.233,700450-99999,America/Anchorage
AK,70.5,-149.883,700630-27403,America/Anchorage
AK,70.5,-149.88,700630-99999,America/Anchorage
AK,52.22,-174.206,700631-25715,America/Anchorage
AK,57.067,-135.367,700631-99999,America/Anchorage
AK,65.983,-161.133,700632-26645,America/Anchorage
AK,65.983,-161.15,700632-99999,America/Anchorage
AK,0,0,700633-99999,America/Anchorage
AK,70.331,-149.598,700634-27408,America/Anchorage
AK,70.317,-149.583,700634-99999,America/Anchorage
AK,68.479,-149.49,700635-26465,America/Anchorage
AK,68.483,-149.483,700635-99999,America/Anchorage
AK,70.25,-148.333,700636-27405,America/Anchorage
AK,70.192,-148.477,700637-27406,America/Anchorage
AK,54.85,-163.417,700638-99999,America/Anchorage
AK,69.167,-148.817,700639-99999,America/Anchorage
AK,70.134,-143.577,700860-27401,America/Anchorage
AK,70.133,-143.633,700860-99999,America/Anchorage
AK,70.134,-143.577,700863-99999,America/Anchorage
AK,70.133,-143.583,700865-99999,America/Anchorage
AK,70.233,-146.5,700866-99999,America/Anchorage
AK,69.717,-148.683,700867-99999,America/Anchorage
AK,68.183,-149.417,700868-99999,America/Anchorage
AK,68.067,-149.583,700869-99999,America/Anchorage
AK,68.867,-166.133,701040-26631,America/Anchorage
AK,68.883,-166.133,701040-99999,America/Anchorage
AK,68.35,-166.8,701043-26623,America/Anchorage
AK,68.35,-166.8,701043-99999,America/Anchorage
AK,68.031,-162.903,701045-26649,America/Anchorage
AK,68.067,-162.833,701045-99999,America/Anchorage
AK,65.567,-144.765,701046-26418,America/Anchorage
AK,65.617,-168.05,701160-26618,America/Anchorage
AK,65.563,-167.921,701170-26634,America/Anchorage
AK,65.567,-167.917,701170-99999,America/Anchorage
AK,65.254,-166.859,701190-99999,America/Anchorage
AK,66.25,-166.089,701195-26625,America/Anchorage
AK,66.25,-166.083,701195-99999,America/Anchorage
AK,66.983,-160.433,701196-00102,America/Anchorage
AK,66.976,-160.437,701196-99999,America/Anchorage
AK,69.733,-163.005,701210-26624,America/Anchorage
AK,69.817,-162.917,701210-26638,America/Anchorage
AK,69.817,-162.917,701210-99999,America/Anchorage
AK,69.733,-163.017,701213-26638,America/Anchorage
AK,69.733,-163.017,701213-99999,America/Anchorage
AK,66.867,-162.633,701330-26616,America/Anchorage
AK,66.067,-162.75,701331-99999,America/Anchorage
AK,66.069,-162.764,701333-26643,America/Anchorage
AK,66.083,-162.75,701333-99999,America/Anchorage
AK,66.883,-162.6,701334-99999,America/Anchorage
AK,67.566,-162.975,701335-26648,America/Anchorage
AK,67.55,-162.967,701335-99999,America/Anchorage
AK,65.617,-168.1,701337-00103,America/Anchorage
AK,61.533,-165.583,701338-99999,America/Anchorage
AK,67.732,-164.548,701486-26642,America/Anchorage
AK,67.733,-164.55,701486-99999,America/Anchorage
AK,69.367,-152.133,701620-26508,America/Anchorage
AK,68.167,-151.767,701625-26542,America/Anchorage
AK,68.133,-151.733,701625-99999,America/Anchorage
AK,67.1,-157.85,701718-26551,America/Anchorage
AK,67.1,-157.85,701718-99999,America/Anchorage
AK,66.888,-157.162,701719-00490,America/Anchorage
AK,66.888,-157.162,701719-99999,America/Anchorage
AK,66,-153.7,701730-26535,America/Anchorage
AK,66,-153.7,701730-99999,America/Anchorage
AK,66.917,-151.515,701740-26533,America/Anchorage
AK,67.511,-148.493,701745-26480,America/Anchorage
AK,67.5,-148.483,701745-99999,America/Anchorage
AK,67.683,-149.733,701746-99999,America/Anchorage
AK,61.25,-153.82,701747-26467,America/Anchorage
AK,61.267,-153.8,701747-26554,America/Anchorage
AK,66.817,-150.65,701748-99999,America/Anchorage
AK,67.4,-150.117,701749-99999,America/Anchorage
AK,65.175,-152.107,701780-26529,America/Anchorage
AK,65.933,-149.833,701790-99999,America/Anchorage
AK,65,-150.65,701791-99999,America/Anchorage
